entry_id,year_from,year_to,poll,entry_name,christian,islamic,chinese,buddhist
23,-1200.0,-1045.0,Religious Group (v5),Late Shang Religion,False,False,True,False
173,90.0,120.0,Religious Group (v5),Johannine Christianity,True,False,False,False
174,50.0,160.0,Religious Group (v5),Matthew-James-Didache Movement,True,False,False,False
176,-150.0,68.0,Religious Group (v5),Qumran Movement,False,False,False,False
178,-206.0,220.0,Religious Group (v5),Ancestral Cult of the Han,False,False,True,False
180,-350.0,200.0,Religious Group (v5),Chinese Folk Religion,False,False,True,False
182,48.0,56.0,Religious Group (v5),Pauline Christianity,True,False,False,False
184,386.0,534.0,Religious Group (v5),Chinese Buddhism (Northern Wei),False,False,True,True
185,1936.0,2013.0,Religious Group (v5),Shinnyo-en,False,False,False,False
186,1590.0,1644.0,Religious Group (v5),Buddhism (Late Ming),False,False,True,True
187,-1750.0,-850.0,Religious Group (v5),Chinese State Religion (Shang and Western Zhou),False,False,True,False
189,-1200.0,-400.0,Religious Group (v5),Israelite Religion,False,False,False,False
190,1948.0,2015.0,Religious Group (v5),Sri Lankan Buddhism (1948-Present),False,False,False,True
193,2000.0,2013.0,Religious Group (v5),Fijian Religion (contemporary),False,False,False,False
195,500.0,1100.0,Religious Group (v5),Shakta Religion,False,False,False,False
196,45.0,60.0,Religious Group (v5),Pauline Christianity (ca. 45-60 CE),True,False,False,False
197,1604.0,1958.0,Religious Group (v5),Gönlung Monastery (dgon lung byams pa gling),False,False,False,True
199,100.0,400.0,Religious Group (v5),Mithraism,False,False,False,False
200,1650.0,1850.0,Religious Group (v5),Nechung Cult,False,False,False,True
201,-500.0,500.0,Religious Group (v5),Mediterranean,False,False,False,False
202,-1046.0,-771.0,Religious Group (v5),Early Zhou Religion,False,False,True,False
203,-790.0,-223.0,Religious Group (v5),Pre-imperial Chu Religion,False,False,True,False
204,-206.0,220.0,Religious Group (v5),Han Confucianism,False,False,True,False
209,-2000.0,-30.0,Religious Group (v5),Ancient Egypt,False,False,False,False
211,-1350.0,-1320.0,Religious Group (v5),Amarna Religion,False,False,False,False
212,-481.0,-206.0,Religious Group (v5),Warring States (China) Religion,False,False,True,False
217,-202.0,-44.0,Religious Group (v5),Roman private religion,False,False,False,False
224,600.0,1100.0,Religious Group (v5),Old Norse Fornsed,False,False,False,False
227,1980.0,2000.0,Religious Group (v5),Hindu Goddess Worship in Northwest India—Modern Period,False,False,False,False
228,1600.0,1900.0,Religious Group (v5),Late Chosŏn Korea,False,False,False,False
230,-3300.0,-539.0,Religious Group (v5),Religion in Mesopotamia,False,False,False,False
231,-600.0,-202.0,Religious Group (v5),Roman private religion,False,False,False,False
240,775.0,960.0,Religious Group (v5),Late Medieval Chinese State Religion,False,False,True,False
245,-450.0,-221.0,Religious Group (v5),Warring States Confucian Thought,False,False,True,False
249,1990.0,2013.0,Religious Group (v5),Tyva Republic (Animism-Totemism-Shamanism),False,False,False,False
250,960.0,1279.0,Religious Group (v5),"Tiantai Buddhism (Song Dynasty, Liangzhe Circuit)",False,False,False,True
255,-200.0,500.0,Religious Group (v5),Talismanic Religion,False,False,True,False
256,-10.0,-1.0,Religious Group (v5),Etruscan Religion,False,False,False,False
263,2000.0,2015.0,Religious Group (v5),Irish Catholicism,True,False,False,False
284,-3500.0,2015.0,Religious Group (v5),Yolngu religion,False,False,False,False
287,100.0,400.0,Religious Group (v5),Mithraism,False,False,False,False
294,200.0,600.0,Religious Group (v5),Xuanxue 玄學,False,False,True,False
299,-1250.0,-1046.0,Religious Group (v5),Shang State Religion,False,False,True,False
300,-1200.0,-515.0,Religious Group (v5),Israelite Religion,False,False,False,False
308,-900.0,-501.0,Religious Group (v5),Neo-Assyrian Scholars,False,False,False,False
325,-193.0,-168.0,Religious Group (v5),Religion at Mawangdui,False,False,True,False
342,50.0,150.0,Religious Group (v5),Jesus Associations and the Synoptic Gospels,True,False,False,False
354,-330.0,-125.0,Religious Group (v5),Priests and Scholars of Hellenistic Uruk,False,False,False,False
355,50.0,60.0,Religious Group (v5),Paul the Apostle,True,False,False,False
358,1500.0,1700.0,Religious Group (v5),16th-17th c. Gauḍīya Vaiṣṇava Tradition,False,False,False,False
361,-500.0,-300.0,Religious Group (v5),Classical Greek Religion,False,False,False,False
374,800.0,1600.0,Religious Group (v5),Non-dual Śaiva Tantra,False,False,False,False
381,1469.0,1606.0,Religious Group (v5),Sikhism: Guru Nanak to Guru Arjan,False,False,False,False
383,1200.0,1700.0,Religious Group (v5),Varkaris,False,False,False,False
387,1889.0,2016.0,Religious Group (v5),Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,False,True,False,False
389,1840.0,1970.0,Religious Group (v5),Iban traditional religion,False,False,False,False
390,1610.0,2016.0,Religious Group (v5),Dasara,False,False,False,False
392,1606.0,1708.0,Religious Group (v5),Sikhism: Guru Hargobind to Guru Gobind Singh,False,False,False,False
395,1966.0,2016.0,Religious Group (v5),International Society for Krishna Consciousness (ISKCON),False,False,False,False
400,1980.0,2015.0,Religious Group (v5),Singaporean Mega-Churches,True,False,False,False
406,142.0,2014.0,Religious Group (v5),Daoism,False,False,True,False
415,1970.0,2015.0,Religious Group (v5),Shaiva World Renouncers,False,False,False,False
416,1800.0,1918.0,Religious Group (v5),Edinoverie,True,False,False,False
419,1970.0,2016.0,Religious Group (v5),The Worship of Jagannath in Puri (Odisha),False,False,False,False
420,1800.0,2017.0,Religious Group (v5),Swaminarayan Sampraday,False,False,False,False
422,-1500.0,396.0,Religious Group (v5),Demeter Cult,False,False,False,False
423,-500.0,500.0,Religious Group (v5),Mediterranean,False,False,False,False
424,-550.0,-330.0,Religious Group (v5),Achaemenid Religion,False,False,False,False
435,1206.0,1368.0,Religious Group (v5),Mongol Religion,False,False,True,False
439,800.0,1500.0,Religious Group (v5),Śaiva Magic,False,False,False,False
440,900.0,1200.0,Religious Group (v5),"Jain Digambara Tantra, Karnataka",False,False,False,False
441,1690.0,2017.0,Religious Group (v5),Worshipers of Śītalā,False,False,False,True
442,311.0,427.0,Religious Group (v5),Donatism,True,False,False,False
443,1634.0,2017.0,Religious Group (v5),Tyva (Buddhism),False,False,False,True
444,1920.0,2017.0,Religious Group (v5),Sursurunga,True,False,False,False
453,1985.0,2017.0,Religious Group (v5),Guangzhou (Buddhism),False,False,False,True
455,1292.0,1558.0,Religious Group (v5),Lan Na Buddhism,False,False,False,True
456,-165.0,75.0,Religious Group (v5),The Essenes,False,False,False,False
457,2013.0,2017.0,Religious Group (v5),Kananga - Pentacostal,True,False,False,False
458,1869.0,2017.0,Religious Group (v5),Tanna - Christian,True,False,False,False
459,-1100.0,2017.0,Religious Group (v5),Tanna - Kastom,False,False,False,False
462,1550.0,1989.0,Religious Group (v5),Tukano,False,False,False,False
465,2014.0,2016.0,Religious Group (v5),Mysore,False,False,False,False
468,1870.0,2017.0,Religious Group (v5),Turkana,True,False,False,False
470,-800.0,-500.0,Religious Group (v5),Archaic Spartan Cults,False,False,False,False
471,2015.0,2016.0,Religious Group (v5),Urban Northern Ireland,True,False,False,False
472,1110.0,2017.0,Religious Group (v5),Karma Kagyu or Kamtsang Kagyu,False,False,False,True
476,1000.0,2015.0,Religious Group (v5),Cham Bani,False,True,False,False
477,1833.0,1845.0,Religious Group (v5),Tractarian Movement,True,False,False,False
478,-450.0,1.0,Religious Group (v5),Early Indian Buddhism,False,False,False,True
479,-2900.0,-2300.0,Religious Group (v5),Mesopotamian city-state cults of the Early Dynastic periods,False,False,False,False
481,1780.0,2000.0,Religious Group (v5),Huichol,False,False,False,False
482,1700.0,2000.0,Religious Group (v5),Miskito,False,False,False,False
483,2015.0,2016.0,Religious Group (v5),Northern Irish Roman Catholics,True,False,False,False
484,2015.0,2016.0,Religious Group (v5),Northern Irish Protestants,True,False,False,False
485,500.0,1500.0,Religious Group (v5),Sámi pre-Christian religion,False,False,False,False
486,1820.0,2017.0,Religious Group (v5),Church of Jesus Christ of Latter-day Saints (early),True,False,False,False
490,1260.0,1302.0,Religious Group (v5),Guglielmites,True,False,False,False
492,-800.0,380.0,Religious Group (v5),Roman Divination,False,False,False,False
493,1858.0,2017.0,Religious Group (v5),Krishna Worship in North India - Modern Period,False,False,False,False
520,1600.0,2015.0,Religious Group (v5),Cham Ahiér,False,False,False,False
525,1951.0,2018.0,Religious Group (v5),Church of Jesus Christ of Latter-day Saints (modern),True,False,False,False
526,1900.0,2018.0,Religious Group (v5),Hmong Christianity,True,False,False,False
534,-42.0,518.0,Religious Group (v5),Roman Imperial Cult,False,False,False,False
535,200.0,1200.0,Religious Group (v5),Pāśupatas,False,False,False,False
562,1017.0,1445.0,Religious Group (v6),Medieval Śrīvaiṣṇavism,False,False,False,False
563,1845.0,2018.0,Religious Group (v6),"Gaddi, a Hindu community of the Western Himalayas",False,False,False,False
564,1950.0,2018.0,Religious Group (v6),Tribal Christianity (and allied castes) in the Himalayas,True,False,False,False
565,1925.0,1960.0,Religious Group (v5),Fellahin,False,False,False,False
567,2001.0,2024.0,Religious Group (v5),Gay and Lesbian Vaishnava Association (GALVA-108),False,False,False,False
570,1986.0,2018.0,Religious Group (v5),Supreme Master Ching Hai World Society,True,False,False,True
571,1855.0,1890.0,Religious Group (v5),Abkhaz,True,True,False,False
572,1890.0,1930.0,Religious Group (v5),Trobrianders,False,False,False,False
574,1920.0,1967.0,Religious Group (v5),Konso,False,False,False,False
576,1000.0,2018.0,Religious Group (v5),Kuy traditional religions,False,False,False,True
577,1860.0,1900.0,Religious Group (v5),Ganda,False,False,False,False
578,1875.0,1910.0,Religious Group (v5),Gond,False,False,False,False
580,1700.0,2018.0,Religious Group (v5),Nāth Sampradāya,False,False,False,False
581,1970.0,2018.0,Religious Group (v5),Mentawai (Rereiket),False,False,False,False
586,1900.0,2017.0,Religious Group (v5),Kelantanese Thai Religion,False,False,False,True
588,1905.0,1940.0,Religious Group (v5),Nyakyusa,False,False,False,False
589,1915.0,1945.0,Religious Group (v5),Warrau,False,False,False,False
590,670.0,712.0,Religious Group (v5),Huayan School (Early Tang),False,False,True,False
592,11.0,12.0,Religious Group (v5),Veerashaivas,False,False,False,False
594,1925.0,1955.0,Religious Group (v5),Wolof,False,True,False,False
595,1804.0,1840.0,Religious Group (v5),Western Samoans,False,False,False,False
597,-600.0,-200.0,Religious Group (v6),Confucianism - Eastern Zhou,False,False,True,False
598,1875.0,1915.0,Religious Group (v6),Masai,False,False,False,False
600,1900.0,1930.0,Religious Group (v6),Riffians,False,True,False,False
602,1930.0,1960.0,Religious Group (v6),Amhara,True,False,False,False
607,-400.0,-200.0,Religious Group (v6),Mohism,False,False,True,False
608,1926.0,1955.0,Religious Group (v6),Kurd,False,True,False,False
609,1915.0,1940.0,Religious Group (v6),Tallensi,False,False,False,False
610,1900.0,1960.0,Religious Group (v6),Somali,False,True,False,False
613,1800.0,1830.0,Religious Group (v6),Maori,False,False,False,False
614,1925.0,1960.0,Religious Group (v6),!Kung,False,False,False,False
618,1860.0,1890.0,Religious Group (v6),Nuxalk,False,False,False,False
620,1900.0,1935.0,Religious Group (v6),Papago,False,False,False,False
621,1910.0,1935.0,Religious Group (v6),Haitians,True,False,False,False
622,1896.0,1921.0,Religious Group (v6),Miskito,True,False,False,False
623,1965.0,2018.0,Religious Group (v6),Diasporic American Hinduism,False,False,False,False
624,1550.0,1640.0,Religious Group (v6),The Roshaniyya,False,True,False,False
625,1890.0,1915.0,Religious Group (v6),Copper Inuit,False,False,False,False
626,1907.0,1935.0,Religious Group (v6),Barama River Carib,False,False,False,False
629,1200.0,2018.0,Religious Group (v6),Newar Buddhists,False,False,False,True
632,-650.0,-409.0,Religious Group (v6),Local Religion at Selinous,False,False,False,False
633,1238.0,2018.0,Religious Group (v6),Mādhva,False,False,False,False
635,1890.0,1920.0,Religious Group (v6),Ifugao,False,False,False,False
