Group,Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob
Southwest Asia,(year_norm) > 0,5.03,1.58,2.53,8.8,Inf,1
Europe,(year_norm) > 0,4.55,1.38,2.19,7.6,3199,1
East Asia,(year_norm) > 0,4.88,1.66,2.36,9,2665.67,1
Africa,(year_norm) > 0,4.24,1.19,1.85,6.59,1229.77,1
North America,(year_norm) > 0,4.23,1.39,1.5,7.05,196.53,0.99
South Asia,(year_norm) > 0,3.85,1.63,0.93,7.39,136.93,0.99
Southeast Asia,(year_norm) > 0,3.94,1.6,0.86,7.24,95.39,0.99
Oceania-Australia,(year_norm) > 0,4.37,1.8,0.93,8.28,90.95,0.99
South America,(year_norm) > 0,4,1.66,0.62,7.25,68.26,0.99
Central Eurasia,(year_norm) > 0,3.82,1.68,0.33,7.09,51.98,0.98
