entry_id,entry_name,max_dim,max_dim_value,num_not_answered
182,Pauline Christianity,dim0,1.0,0
771,Muscular Christianity,dim0,1.0,0
851,Sikhism in the United States,dim0,1.0,0
857,Wesleyanism,dim0,1.0,0
879,Free Methodist Church,dim0,1.0,0
894,Universal Fellowship of Metropolitan Community Churches,dim0,1.0,0
915,Protestantism welcoming People with Disabilities,dim0,1.0,0
919,Catholicism in contemporary Croatia,dim0,1.0,0
950,The Religious Society of Friends,dim0,1.0,0
952,Ethiopian Jews,dim0,1.0,0
953,Sachchai,dim0,1.0,0
968,"Anabaptist Mennonites in North America, 1683-2021",dim0,1.0,0
980,Pure Land Buddhist Schools in Early Medieval Japan,dim0,1.0,0
995,Tamil Neo-Saivism,dim0,1.0,0
1348,Disability-focused Christianity for Palestinians,dim0,1.0,0
1774,إباضية جزيرة جربة,dim0,1.0,0
1808,'yan Taru (Women Cadre of the Nana Asma'u),dim0,1.0,0
381,Sikhism: Guru Nanak to Guru Arjan,dim0,1.0,1
392,Sikhism: Guru Hargobind to Guru Gobind Singh,dim0,1.0,1
455,Lan Na Buddhism,dim0,1.0,1
484,Northern Irish Protestants,dim0,1.0,2
841,Sa skya,dim0,1.0,3
623,Diasporic American Hinduism,dim0,0.99,0
910,Christian Base Community movement,dim0,0.99,0
960,Bön (Bon),dim0,0.99,0
1006,Ancient Egypt - Old Kingdom,dim0,0.99,0
1806,Sango Religious group in Oyo,dim0,0.99,0
988,Churches of Christ- United States,dim0,0.99,1
534,Roman Imperial Cult,dim0,0.99,7
383,Varkaris,dim0,0.98,0
860,Kimpa Vita,dim0,0.98,0
1321,Mourides (Muridiyya),dim0,0.98,0
1618,Diya'u al-Ta'aweel fee Ma'ani al-Tanzeel (The Bright interpretation of the meanings of the Qur'an),dim0,0.98,0
1811,كتاب قصيدة المرثية (Kitab Qasidat al-Marsiyyah).,dim0,0.98,2
941,Chan Buddhists in early Qing period,dim0,0.97,4
1546,4QPseudo Ezekiel,dim0,0.96,4
1539,Maqāṣid al-šarī῾a al-islāmiyya,dim0,0.94,1
1589,Peshitta,dim0,0.92,0
581,Mentawai (Rereiket),dim0,0.91,9
946,Nyingma (rnying ma),dim0,0.9,0
1575,L’esprit libéral du Coran,dim0,0.89,0
1008,Ancient Egypt - First Intermediate Period,dim0,0.88,2
2085,الحصن الرصين في علم التصريف,dim0,0.87,0
1542,Umbanda,dim0,0.86,0
1083,Drukpa Kagyü School (Bhutan),dim0,0.84,2
976,Mising Community,dim0,0.84,3
1869,IFA RELIGIOUS GROUP IN ILE- IFE,dim0,0.8,0
1367,Targums,dim0,0.74,0
1522,Tijaniyya Tariqa الطريقة التجانية,dim0,0.73,8
423,Mediterranean,dim0,0.67,18
526,Hmong Christianity,dim0,0.54,0
570,Supreme Master Ching Hai World Society,dim0,0.52,3
763,Moriori,dim0,0.46,13
1136,The Fellowship of Goodness 同善社 (Tongshanshe),dim0,0.33,16
23,Late Shang Religion,dim0,0.25,14
931,The Society of Jesus (Jesuits) in Britain,dim1,0.99,0
690,Ahl-e-Sunnat wa Jamaat,dim1,0.98,0
989,Opus Dei,dim1,0.98,0
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis",dim1,0.98,0
1041,Korean Catholicism,dim1,0.98,0
1907,A treatise on the rulings of the people of Dhimma (رسالة في أحكام اهل الذمة),dim1,0.98,0
2008,(The beginning of the diligent and the end of the frugal) بداية المجتهد ونهاية المقتصد,dim1,0.98,0
2032,(The light of the rulers regarding what is best for them and on them) ضياء الحكام فيما لهم وعليهم من الأحكم,dim1,0.98,0
2040,(Condolences to the Al-Azhar community) المقدمة العزية للجماعة الأزهرية,dim1,0.98,0
2082,(The spears of the Merciful Party on the Throat of the Servants of the Merciful.) رماح حزب الرحيم على نحور حزب الرحيم,dim1,0.98,0
1243,Shengjing zhijie,dim1,0.98,5
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,dim1,0.97,0
975,Neo-Charismatic Movement - Third Wave Charismatic Movement,dim1,0.97,0
1334,No-debt Movement in US Evangelicalism,dim1,0.97,0
1356,The Lausiac History,dim1,0.97,0
1972,Shepherding Movement,dim1,0.97,0
440,"Jain Digambara Tantra, Karnataka",dim1,0.97,2
1311,Jehovah's Witnesses,dim1,0.95,0
