entry_id,entry_name,max_dim,max_dim_value,num_not_answered
2074,"Revolutionary Mahdism and Resistance to Colonial Rule in the Sokoto Caliphate, 1905-1906",dim0,1.0,0
2077,ضياء السياسات والفتاوى والنوازل مما هو في فروع الدين من المسائل,dim0,1.0,0
2088,مصباح الراوي في علم الحديث,dim0,1.0,0
2090,أسهل المدارك شرح إرشاد السالك في فقه إمام الأئمة مالك,dim0,1.0,0
1376,African Initiated Churches,dim0,1.0,1
1639,Hujjat Allāh al-Bāligha,dim0,0.98,0
1705,The Historia Compostellana,dim0,0.98,0
2048,الدولة الرستمية,dim0,0.98,0
1321,Mourides (Muridiyya),dim0,0.93,0
927,Zealots,dim0,0.92,0
1517,Tunisian Women's Associations,dim0,0.92,0
1290,4QInstruction,dim0,0.9,2
1134,Tiantai,dim0,0.89,1
484,Northern Irish Protestants,dim0,0.87,0
1418,Book of Jonah,dim0,0.8,1
626,Barama River Carib,dim0,0.8,12
1779,المذهب المالكي بالبلاد التونسية,dim0,0.78,1
2100,الدولة الزيانية,dim0,0.77,0
1468,Eastern Christianity From Nicaea to Chalcedon,dim0,0.77,3
880,Egyptian Salafism (inluding North Africa and West Asia),dim0,0.75,0
884,Sub Saharan Africa Pentecostalism,dim0,0.75,0
1549,Slaying of Husayn Texts,dim0,0.75,0
976,Mising Community,dim0,0.65,0
486,Church of Jesus Christ of Latter-day Saints (early),dim0,0.6,0
525,Church of Jesus Christ of Latter-day Saints (modern),dim0,0.6,0
942,African Methodist Episcopal Church,dim0,0.6,0
963,The Knights Templar,dim0,0.6,0
975,Neo-Charismatic Movement - Third Wave Charismatic Movement,dim0,0.6,0
1334,No-debt Movement in US Evangelicalism,dim0,0.6,0
1293,The Zapotec or Ben 'Zaa (The Cloud People),dim0,0.51,2
1087,The Bogomils,dim0,0.42,1
651,Kapauku,dim0,0.23,9
1576,Book of Amos,dim1,0.99,1
1471,Book of Ezekiel,dim1,0.97,0
624,The Roshaniyya,dim1,0.96,0
