entry_id,yes_parents,yes_children,christian_parents,christian_children,n_children,n_parents,answer_value,entry_name,year_from,christian_tradition,n_downstream,yes_downstream,christian_downstream,n_upstream,yes_upstream,christian_upstream
174,0.5,0.33,0.2,0.67,6.0,10.0,1.0,Matthew-James-Didache Movement,50,True,137,0.72,0.36,67,0.13,0.09
182,0.5,1.0,0.1,1.0,2.0,10.0,1.0,Pauline Christianity,48,True,140,0.72,0.37,61,0.1,0.05
184,0.38,1.0,0.0,0.0,5.0,8.0,1.0,Chinese Buddhism (Northern Wei),386,False,107,0.75,0.25,16,0.19,0.0
196,0.44,1.0,0.0,1.0,3.0,9.0,1.0,Pauline Christianity (ca. 45-60 CE),45,True,141,0.72,0.38,60,0.08,0.03
212,0.0,0.0,0.0,0.0,5.0,1.0,0.0,Warring States (China) Religion,-481,False,154,0.68,0.29,3,0.0,0.0
217,0.5,,0.0,,,6.0,0.0,Roman private religion,-202,False,0,,,53,0.08,0.04
224,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Old Norse Fornsed,600,False,26,0.96,0.58,1,0.0,0.0
231,0.25,0.67,0.0,0.0,3.0,4.0,0.0,Roman private religion,-600,False,157,0.68,0.35,35,0.03,0.03
300,0.0,0.0,0.0,0.18,11.0,3.0,0.0,Israelite Religion,-1200,False,180,0.6,0.32,4,0.0,0.0
308,0.0,0.0,0.0,0.0,4.0,7.0,0.0,Neo-Assyrian Scholars,-900,False,176,0.61,0.32,16,0.0,0.0
342,0.3,0.57,0.13,0.71,7.0,23.0,1.0,Jesus Associations and the Synoptic Gospels,50,True,138,0.72,0.36,65,0.11,0.06
354,0.0,,0.0,,,6.0,0.0,Priests and Scholars of Hellenistic Uruk,-330,False,0,,,42,0.0,0.05
355,0.3,0.5,0.13,1.0,2.0,23.0,1.0,Paul the Apostle,50,True,138,0.72,0.36,65,0.11,0.06
358,0.29,,0.0,,,7.0,1.0,16th-17th c. Gauḍīya Vaiṣṇava Tradition,1500,False,0,,,167,0.37,0.17
361,0.0,1.0,0.0,0.0,2.0,9.0,0.0,Classical Greek Religion,-500,False,157,0.68,0.35,45,0.0,0.04
381,0.22,1.0,0.0,0.0,1.0,9.0,1.0,Sikhism: Guru Nanak to Guru Arjan,1469,False,1,1.0,0.0,167,0.37,0.17
383,0.17,0.2,0.0,0.2,5.0,6.0,0.0,Varkaris,1200,False,14,0.57,0.21,131,0.33,0.2
424,0.0,0.0,0.1,0.0,3.0,21.0,0.0,Achaemenid Religion,-550,False,160,0.67,0.34,41,0.0,0.05
439,0.58,0.35,0.08,0.0,20.0,12.0,0.0,Śaiva Magic,800,False,61,0.67,0.28,129,0.33,0.2
440,0.2,0.0,0.0,0.0,2.0,5.0,1.0,"Jain Digambara Tantra, Karnataka",900,False,14,0.57,0.21,130,0.33,0.2
442,0.62,0.67,0.5,0.67,3.0,8.0,1.0,Donatism,311,True,112,0.75,0.29,86,0.16,0.15
455,0.0,,0.0,,,2.0,1.0,Lan Na Buddhism,1292,False,0,,,150,0.37,0.18
470,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Archaic Spartan Cults,-800,False,158,0.68,0.35,34,0.0,0.03
472,0.43,0.25,0.0,0.12,8.0,14.0,0.0,Karma Kagyu or Kamtsang Kagyu,1110,False,19,0.53,0.16,144,0.37,0.19
476,0.0,,0.0,,,1.0,1.0,Cham Bani,1000,False,0,,,11,0.0,0.0
492,0.0,0.34,0.04,0.36,58.0,24.0,0.0,Roman Divination,-800,False,175,0.62,0.32,33,0.0,0.03
562,0.2,0.0,0.0,0.0,3.0,5.0,1.0,Medieval Śrīvaiṣṇavism,1017,False,13,0.62,0.23,130,0.33,0.2
592,0.29,0.25,0.0,0.25,4.0,7.0,0.0,Veerashaivas,1200,False,13,0.62,0.23,133,0.33,0.2
624,0.29,,0.14,,,7.0,1.0,The Roshaniyya,1550,False,0,,,168,0.37,0.17
629,0.29,0.0,0.0,0.0,1.0,7.0,0.0,Newar Buddhists,1200,False,6,0.83,0.33,163,0.37,0.17
632,0.0,,0.0,,,1.0,0.0,Local Religion at Selinous,-650,False,0,,,34,0.0,0.03
633,0.2,0.67,0.0,0.67,3.0,10.0,0.0,Mādhva,1238,False,6,0.83,0.33,163,0.37,0.17
639,0.62,,0.0,,,8.0,1.0,Chinese Esoteric Buddhism (Tang Tantrism),716,False,0,,,124,0.33,0.2
645,0.25,0.25,0.0,0.0,4.0,4.0,1.0,"Meo Muslim, Mev, Mewati Muslim",1100,False,17,0.53,0.18,130,0.33,0.2
654,0.86,1.0,0.64,0.0,1.0,14.0,1.0,12th-13th c Cistercians,1198,True,9,1.0,0.11,160,0.42,0.21
661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Congregation of Savigny,1113,True,24,0.96,0.54,116,0.28,0.22
676,0.83,1.0,0.67,0.33,6.0,12.0,1.0,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",1198,True,11,1.0,0.27,159,0.42,0.21
681,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Sargonic Empire,-2350,False,192,0.56,0.29,2,0.0,0.0
714,0.25,0.0,0.0,0.0,1.0,4.0,0.0,Tamil Śaiva Bhakti,550,False,62,0.66,0.27,111,0.25,0.2
788,0.0,,0.0,,,1.0,0.0,The Late Bronze Age City-State of Ugarit,-1500,False,0,,,1,0.0,0.0
841,0.5,0.17,0.0,0.0,6.0,10.0,0.0,Sa skya,1073,False,20,0.5,0.15,132,0.33,0.2
843,0.44,0.64,0.33,0.57,14.0,9.0,1.0,Bnay Qyāmā and Bnāt Qyāmā,300,True,119,0.74,0.31,85,0.15,0.14
854,0.0,1.0,0.0,1.0,1.0,1.0,0.0,pre-Christian Irish,-400,False,1,1.0,1.0,1,0.0,0.0
859,0.39,0.6,0.17,0.73,15.0,18.0,0.0,Valentinians,135,True,132,0.73,0.34,72,0.17,0.14
888,0.0,,0.0,,,2.0,1.0,Céli Dé monks,780,True,0,,,2,0.0,0.0
896,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Sannō Shintō,800,False,1,0.0,0.0,11,0.0,0.0
914,0.75,1.0,0.35,0.17,6.0,20.0,1.0,Tariqa Shadhiliyya,1258,False,6,1.0,0.17,167,0.43,0.22
918,0.0,0.09,0.0,0.0,11.0,2.0,0.0,Fangshi,-475,False,153,0.68,0.29,4,0.0,0.0
925,0.0,0.67,0.25,0.67,3.0,4.0,0.0,Rabbinic Judaism (Babylonia),220,False,119,0.74,0.31,84,0.14,0.14
