entry_id_to,region_id_to,entry_id_from,region_id_from,overlap_start,christian_tradition_from,christian_tradition_to
738,944,783,983,-3000,False,False
997,535,783,983,-2950,False,False
997,535,738,944,-2950,False,False
784,983,738,944,-2686,False,False
784,983,997,535,-2686,False,False
1006,535,738,944,-2670,False,False
1006,535,784,983,-2670,False,False
785,983,738,944,-2181,False,False
785,983,1006,535,-2181,False,False
1008,535,738,944,-2168,False,False
1008,535,785,983,-2168,False,False
786,983,738,944,-2055,False,False
786,983,1008,535,-2055,False,False
1124,1267,738,944,-2000,False,False
1124,1267,209,136,-2000,False,False
1124,1267,786,983,-2000,False,False
209,136,738,944,-2000,False,False
209,136,786,983,-2000,False,False
1051,1296,738,944,-1960,False,False
787,983,738,944,-1650,False,False
787,983,209,136,-1650,False,False
1419,1577,738,944,-1550,False,False
1419,1577,209,136,-1550,False,False
1419,1577,1051,1296,-1550,False,False
1419,1577,787,983,-1550,False,False
1069,1207,738,944,-1504,False,False
1069,1207,209,136,-1504,False,False
1069,1207,1419,1577,-1504,False,False
1078,34,738,944,-1352,False,False
1078,34,209,136,-1352,False,False
211,34,738,944,-1350,False,False
211,34,209,136,-1350,False,False
1232,1380,738,944,-1300,False,False
1232,1380,209,136,-1300,False,False
1232,1380,1069,1207,-1300,False,False
1125,1269,738,944,-1292,False,False
1125,1269,209,136,-1292,False,False
1125,1269,1069,1207,-1292,False,False
1125,1269,1232,1380,-1292,False,False
2348,2424,738,944,-1200,False,False
2348,2424,1175,1320,-1200,False,False
2348,2424,189,44,-1200,False,False
300,44,738,944,-1200,False,False
300,44,2348,2424,-1200,False,False
300,44,1284,1432,-1200,False,False
300,44,1175,1320,-1200,False,False
189,44,738,944,-1200,False,False
189,44,1175,1320,-1200,False,False
1284,1432,738,944,-1200,False,False
1284,1432,230,494,-1200,False,False
1284,1432,2348,2424,-1200,False,False
1284,1432,189,44,-1200,False,False
1117,1260,738,944,-1145,False,False
1117,1260,209,136,-1145,False,False
1117,1260,1069,1207,-1145,False,False
