entry_id,year_from,year_to,poll,entry_name,dim0,dim1,dim2,dim3,dim4,dim5,dim6
23,-1200.0,-1045.0,Religious Group (v5),Late Shang Religion,0.24541521449246514,0.08190084362336028,0.2203855196784577,0.23065146138685944,0.18739582206955385,7.410935477607673e-05,0.0341770293945275
174,50.0,160.0,Religious Group (v5),Matthew-James-Didache Movement,0.048468446779363177,0.5489321978765098,0.0038292609716361835,0.3987687797209063,1.3146503067664755e-06,1.0741362505000753e-88,1.2778828130621177e-12
176,-150.0,68.0,Religious Group (v5),Qumran Movement,4.815515052425768e-25,2.2193731687545795e-23,0.9999952802476311,6.950360571498772e-14,4.719752299424317e-06,3.799527399392377e-88,2.8390243088200736e-23
178,-206.0,220.0,Religious Group (v5),Ancestral Cult of the Han,0.020883482540009227,0.1709437400049161,0.3074339780022036,0.056504444926684036,0.0005957746136618165,5.934630504546706e-42,0.4436385799125253
180,-350.0,200.0,Religious Group (v5),Chinese Folk Religion,0.03460331467830236,0.08307398666780633,6.240243290880333e-12,0.03723048068262651,0.24071126730054201,0.6043809506578783,6.6042751254482384e-12
182,48.0,56.0,Religious Group (v5),Pauline Christianity,0.9983059017988816,3.876932588266503e-32,5.094771600150836e-24,2.9127725152671093e-20,0.0016940982011184596,2.1376924729652382e-69,3.4914899805067637e-53
184,386.0,534.0,Religious Group (v5),Chinese Buddhism (Northern Wei),0.031128823500834686,0.8389295407798705,0.00481829185614222,0.12512330655564738,3.723938355409421e-08,4.810372913343347e-100,6.812160252859404e-11
185,1936.0,2013.0,Religious Group (v5),Shinnyo-en,0.028464772569555524,0.24255400400144086,0.04779354879544874,0.10326209131700517,1.9459546052336382e-07,4.544601667623912e-77,0.5779253887210891
186,1590.0,1644.0,Religious Group (v5),Buddhism (Late Ming),0.12026524274832155,0.17985011912835314,0.024251980330829884,0.3129649531012163,0.0025715553615855615,3.043883878560612e-39,0.36009614932969347
187,-1750.0,-850.0,Religious Group (v5),Chinese State Religion (Shang and Western Zhou),0.07949992173803316,0.3414954097785428,0.025172272555584553,0.0736925719623609,0.0006919125078301996,6.713087066066831e-30,0.47944791145764837
189,-1200.0,-400.0,Religious Group (v5),Israelite Religion,0.03173058915043703,0.1549017274896089,0.2508743152312936,0.1294487893539486,7.463843290970613e-05,6.540474480773474e-63,0.43296994034180214
190,1948.0,2015.0,Religious Group (v5),Sri Lankan Buddhism (1948-Present),0.16082305358738683,0.15277881366859403,0.1665658533832681,0.1603870465592636,0.12661717708492157,0.06626220233335818,0.16656585338320767
193,2000.0,2013.0,Religious Group (v5),Fijian Religion (contemporary),0.027008899446083333,0.2146499006571204,0.01596713915085237,0.11663871867681477,3.5270377682191536e-07,6.181350898757803e-90,0.6257349893653523
195,500.0,1100.0,Religious Group (v5),Shakta Religion,0.0782781751429501,0.1795871951591604,0.02078120401351734,0.2508698097804682,0.0008449484078361245,3.297882769243385e-32,0.46963866749606786
196,45.0,60.0,Religious Group (v5),Pauline Christianity (ca. 45-60 CE),0.17181013499697556,0.8238803776726792,0.004308555284739837,7.629198314951047e-12,9.320217132692649e-07,2.21542457158896e-53,1.6262964684029413e-11
199,100.0,400.0,Religious Group (v5),Mithraism,0.04825506236570323,0.30843120884358066,0.2817152163399443,0.05763144740624451,0.002992547386771583,1.9638247533467834e-38,0.3009745176577558
