entry_id,entry_name,poll_id,poll_name,description,year_from,year_to,region_id,expert_id,expert_name,editor_id,editor_name,date_created,date_modified,data_source,dim0,dim1,dim2,dim3,dim4,dim5
23,Late Shang Religion,35,Religious Group (v5),"This entry was completed by Clayton Ashton, a Ph.D ABD student in early Chinese studies at UBC, utilizing Keightley's relevant published sources. The entry was then printed out and mailed to Keightley for his perusal and editing. Finally, Edward Slingerland visited Keightley at his home in Berkeley on August 13, 2014, discussed the entries for both Shang religion and Shang polity, and noted the edits or additions that Keightley recommended.",-1250,-1045,7,19,David Keightley,6,Matthew Hamm,2014-04-17 07:00:00.000 +0200,2017-11-17 14:55:22.535 +0100,Database of Religious History (DRH),0.02418100415197335,0.0002160308499664654,0.2135453107892652,0.48001621881875783,0.057246024363061615,0.2247954110269755
174,Matthew-James-Didache Movement,35,Religious Group (v5),Matthew-James-Didache Movement,50,160,352,139,Vojtech Kase,18,Robyn Walsh,2014-11-27 23:11:25.000 +0100,2017-11-17 14:55:22.558 +0100,Database of Religious History (DRH),1.5344506472068233e-12,1.3353517249272627e-69,0.0010499360426396477,0.08445662481783249,0.9144870987365281,6.340401465291497e-06
176,Qumran Movement,35,Religious Group (v5),Qumran Movement,-150,68,486,145,Jutta Jokiranta,58,Jennifer Singletary,2014-11-27 23:22:29.000 +0100,2017-11-17 14:55:22.561 +0100,Database of Religious History (DRH),8.50069063355374e-24,3.565611374421474e-59,0.9999945267313803,2.3646075605915227e-17,2.6329610544918977e-14,5.473268593261755e-06
178,Ancestral Cult of the Han,35,Religious Group (v5),,-206,220,104,69,Ken Brashier,45,Matthew Hamm,2015-01-16 23:33:23.277 +0100,2017-11-17 14:55:22.563 +0100,Database of Religious History (DRH),0.4830799819096485,4.258045340892999e-22,0.31956574010946054,0.10823578630365137,0.08832499585839791,0.0007934958188417752
180,Chinese Folk Religion,35,Religious Group (v5),,-350,200,10,18,Mu-chou Poo,6,Matthew Hamm,2015-01-20 04:08:04.848 +0100,2017-11-17 14:55:22.564 +0100,Database of Religious History (DRH),0.04007843873543554,0.6538348802745289,0.055230631043810215,0.060342531075229536,0.013230946946041888,0.17728257192495395
182,Pauline Christianity,35,Religious Group (v5),Pauline Christianity,48,56,489,146,Anders Petersen,46,Megan Daniels,2015-01-26 20:42:38.000 +0100,2017-11-17 14:55:22.567 +0100,Database of Religious History (DRH),1.1520106315126405e-39,1.3272177092409737e-51,1.1738671483104464e-25,5.547849468566948e-07,0.9983772721073656,0.0016221731076876014
184,Chinese Buddhism (Northern Wei),35,Religious Group (v5),,386,534,7,20,Eric Greene,6,Matthew Hamm,2015-01-30 00:54:29.944 +0100,2017-11-17 14:55:22.569 +0100,Database of Religious History (DRH),2.3342059701340395e-11,2.5432074143537785e-71,0.001766152450178203,0.04137326700462576,0.9568603839480323,1.9657382161097215e-07
185,Shinnyo-en,35,Religious Group (v5),,1936,2013,86,51,Casey Collins,6,Matthew Hamm,2015-02-04 05:47:04.645 +0100,2017-11-17 14:55:22.571 +0100,Database of Religious History (DRH),0.6370581212755133,9.156083331409286e-48,0.02880083721836353,0.06184159431904361,0.2722983655724048,1.0816146746862657e-06
186,Buddhism (Late Ming),35,Religious Group (v5),,1590,1644,138,22,Beverley Foulks McGuire,6,Matthew Hamm,2015-02-04 06:37:13.108 +0100,2017-11-17 14:55:22.572 +0100,Database of Religious History (DRH),0.4188370546677335,1.6041312493918496e-19,0.013022438032778357,0.29605567885910916,0.26768286720695383,0.004401961233425049
187,Chinese State Religion (Shang and Western Zhou),35,Religious Group (v5),,-1750,-850,7,17,Lothar von Falkenhausen,23,Katrinka Reinhart,2015-02-11 00:40:37.114 +0100,2017-11-17 14:55:22.573 +0100,Database of Religious History (DRH),0.5841174551949726,4.3215756616357884e-30,0.010008311765791603,0.23078582466075737,0.17389286253673406,0.00119554584174443
