question_id,question_short,dim0,dim1,dim2,dim3,dim4,dim5,question_mean
2899,other elite loyalty,0.48149839045191295,0.21361078842590145,0.25292002869460023,0.3266146810186898,2.3899089457727642e-12,0.0740679054084922,0.19003115264797507
2910,is kin to elites,0.19628816784226408,0.02938141512968415,0.2917394612988159,0.15828650397780794,0.035295947303381196,2.187939010660518e-12,0.1044776119402985
2941,is anthropomorphic,0.3401005970844275,0.44474637824222807,0.8545119804060216,0.874443721033171,0.8063900272968798,0.0885584834249294,0.6197604790419161
2944,is chthonic,0.3881510978686106,0.028999908309917968,0.08086758477331694,0.07146554001504264,0.05030423295277547,0.2632986357407684,0.11144578313253012
2948,is sky deity,0.8392131353342248,0.2595002848032515,0.7823593099974865,0.6569427141695331,0.512918536021331,0.4834869157814297,0.5512048192771084
2958,is monarch fused,0.23154674124560023,0.04043050565867106,0.042147259175785795,0.3388573885526346,0.07502728249137165,0.05234834063570721,0.12195121951219512
2984,is unquestionably good,0.9574361503232114,0.9848178706150518,0.3238700501549195,0.8790072226726633,0.9999999999986978,0.9999999999978157,0.8685015290519877
3192,positive emotion,0.9999999999958814,0.8055763170283988,0.8722970946842534,0.9999999999934106,0.9999999999987055,0.5882766970550285,0.8840125391849529
3218,permissible to worship other god?,0.3592155612013177,0.3378292014819511,0.8386095220222994,0.7452316276420642,0.03312555031854666,0.030130925405471874,0.3780487804878049
3229,negative emotion,0.9181938299885674,0.6115989455352185,0.6426803588214356,0.9185082612682669,0.9999999999982206,0.3853989278830072,0.759375
3233,knowledge this world,0.9999999999962331,0.9999999999985123,0.9794223264770378,0.9999999999984547,0.9999999999987316,0.9999999999979204,0.9970059880239521
3247,causal efficacy the world,0.9623127509729494,0.9622767042167861,0.9596808979499919,0.9777196579429706,0.9703575765057944,0.9815608513845653,0.9695121951219512
3283,possesses hunger,0.5729496562860906,0.10716873806035274,0.7192979174179224,0.5472633025516292,0.17947148310302735,4.481984483324996e-12,0.31210191082802546
3288,indirect causal efficacy the world,0.9605639370753918,0.7172461208309584,0.9320804893958721,0.8488521751557089,0.7190739524590815,0.7951801552132861,0.8038585209003215
3296,communicates with living,0.9999999999945814,0.922210331036686,0.8770787631608626,0.9836753476192616,0.9999999999986475,0.9081260951349182,0.9495268138801262
3328,is monarch manifestation,0.5026205855456979,0.10052338823023806,0.14645410484008595,0.43085888766558156,0.23613210459027975,7.849392402124244e-12,0.21779141104294478
2861,murder other religions,0.12093280384543094,0.952792465184353,0.267395137933263,0.9999999999974198,0.9999999999986146,0.9999999999974805,0.809375
2883,murder coreligionists,0.4168109687355665,0.9999999999984671,0.5686410591536749,0.9999999999984338,0.9999999999982476,0.9791788262872136,0.8899082568807339
2887,honouring oaths,0.9999999999962341,0.9352789491318467,0.8354862013782556,0.9999999999984508,0.9773246008739732,0.9999999999978705,0.9577039274924471
2898,ritual observance,0.9999999999961429,0.7402922605796488,0.9417859954262214,0.9999999998868841,0.9426500873409803,0.9999999999979023,0.9255952380952381
2902,non-lethal fighting,0.9125576255102643,0.8269987762215433,0.1288397714878483,0.8649274058413611,0.9999999999977404,0.9795415953999909,0.7932203389830509
2911,lying,0.96081886422678,0.9545924689787428,0.36991913805834514,0.9999999999981757,0.9999999999987311,0.9999999999979204,0.896969696969697
2917,laziness,0.9613308164661323,0.8120397470424194,0.1842715152162862,0.9607718207165532,0.9999999999972591,0.9999999999977802,0.8376623376623377
2921,property crimes,0.9999999999961278,0.9548152176410724,0.41683342575617793,0.9999999999984054,0.9999999999983507,0.9999999999978729,0.9040247678018576
2923,shirking risk,0.9999999999959983,0.37945011919131766,0.04906076118099412,0.9057070488492748,0.9295318003730095,0.943127586204603,0.6814814814814815
2928,prosocial norm adherence,0.9999999999962279,0.9506680694144657,0.8410008506514017,0.9564211961694814,0.9750552629365585,0.9999998868971371,0.9519519519519519
2930,performance of rituals,0.9999999999961423,0.7943108085733905,0.9602359235492816,0.9851417348337955,0.9730165901010407,0.9999999999977868,0.9432835820895522
2939,personal hygiene,0.999999999995793,0.5019403085148214,0.4595228153004081,0.9544818829662745,0.7954558893160796,0.9999999999972196,0.7583892617449665
2942,gossiping,0.914508879358434,0.774047573801643,0.04430106582768537,0.9587046714574555,0.9999999999977428,0.9999999999977346,0.7967213114754098
2962,sorcery,0.9999999999955325,0.8556042514919519,0.4396304891774883,0.8882118189993398,0.999999999998583,0.9999999999967505,0.8675078864353313
2970,taboos,0.9223546544556057,0.6950399872848628,0.6345836975827328,0.9513349824229148,0.7960139942351464,0.9721531344504173,0.821875
2972,murder other polities,5.029854936724655e-12,0.9999999999980523,0.23679123502420357,0.9999999999976262,0.9735374118308519,0.9999999999977625,0.7931034482758621
2974,disrespecting elders,0.9999999999961009,0.9356184425690491,0.4679592655684367,0.9999999999982349,0.9752173468847806,0.9999999999966591,0.9053627760252366
2978,sex,0.8888475951572025,0.9174613684527111,0.5160935313818912,0.9363983932682304,0.976822091236266,0.997176879084458,0.8865030674846626
2982,conversion non-religionists,0.46709950733474787,0.6979750626865332,0.065065630329649,0.6355775767383336,0.9999999837346761,0.9999999999925903,0.6884735202492211
2985,economic fairness,0.8789637893747669,0.8328473901291612,0.18471375703436127,0.8951101418646068,0.9741963551555904,0.9999999999977234,0.8129032258064516
