entry_id,year_from,year_to,poll,entry_name,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
173,90.0,120.0,Religious Group (v5),Johannine Christianity,0.07002374868083845,0.07938938736104126,5.418596445349531e-13,0.07989601696137699,0.003850430202209823,1.1105569556862449e-13,0.76233821325531,0.004475894969622239,2.6308568105842442e-05,8.423067794922119e-13
174,50.0,160.0,Religious Group (v5),Matthew-James-Didache Movement,0.07501632877531332,0.09157823897446106,6.298122938438136e-14,0.000896049593198658,0.00035491646277738313,1.1499900214699892e-13,0.8273591671170563,0.004790847584989561,4.451492025804341e-06,3.0993580388803103e-24
176,-150.0,68.0,Religious Group (v5),Qumran Movement,3.2277408847143196e-15,1.59186416032644e-11,2.7034266532148162e-24,8.326778022263002e-24,0.014768653080340978,1.565632195210152e-33,8.671623765487761e-10,0.9852313460365739,8.653924377773803e-16,1.2070440476992542e-35
178,-206.0,220.0,Religious Group (v5),Ancestral Cult of the Han,0.0524555614650655,0.015528052772499126,0.14175468760454296,0.10318948013359378,0.19704291262727314,0.01753457207190566,0.23289185271023316,0.010692334662287598,0.011914339467464985,0.216996206485134
180,-350.0,200.0,Religious Group (v5),Chinese Folk Religion,0.0524555614650655,0.015528052772499126,0.14175468760454296,0.10318948013359378,0.19704291262727314,0.01753457207190566,0.23289185271023316,0.010692334662287598,0.011914339467464985,0.216996206485134
182,48.0,56.0,Religious Group (v5),Pauline Christianity,2.7116834908448635e-12,1.4488496884735137e-12,9.800708022379627e-25,1.7725812701680407e-14,0.004260871550606225,1.3757507230377086e-24,0.9599477688689393,0.03579135957627617,4.095205064681079e-17,1.23440648364511e-24
184,386.0,534.0,Religious Group (v5),Chinese Buddhism (Northern Wei),0.10009084920459721,0.12136853110416342,0.13726037221012172,0.13807174584368506,0.15483992634584476,0.0738633240706329,0.21850101398333197,0.01055499872078534,0.014071346972444899,0.03137789154439273
185,1936.0,2013.0,Religious Group (v5),Shinnyo-en,2.3075403832538023e-12,1.5517144592316515e-12,0.31294066931974995,0.16728213956789784,0.379663791416231,1.7407071489716232e-12,0.034574120261937326,0.0026464029775209925,0.012472275002517323,0.09042060144854552
186,1590.0,1644.0,Religious Group (v5),Buddhism (Late Ming),0.04789631549629429,0.12713365192398604,0.09311007258351808,0.09882585047796671,0.13051651085701155,0.08685713345006443,0.12267183231746082,0.13058149104696373,0.031288306941088265,0.13111883490564621
187,-1750.0,-850.0,Religious Group (v5),Chinese State Religion (Shang and Western Zhou),1.5367418397119195e-23,5.577929204452572e-25,2.85185793805848e-12,4.5420889337223355e-12,0.6808626700813978,1.943058177501688e-24,0.003941383573020964,0.0028851668111962224,2.5269461820544363e-14,0.3123107795269658
189,-1200.0,-400.0,Religious Group (v5),Israelite Religion,0.09531483242935603,0.1131900220737203,0.09004377138320452,0.1104791308891904,0.1103714915628224,0.11026054534437318,0.11319002207362434,0.11319002207357219,0.030770140096697058,0.11319002207343964
190,1948.0,2015.0,Religious Group (v5),Sri Lankan Buddhism (1948-Present),4.08323150100036e-15,9.183529622959717e-38,0.10986219636110682,1.551912819153038e-34,1.2133706471182557e-27,0.003355082092007027,1.4317858876977263e-36,1.148714004979062e-16,0.886782721546882,6.823298819286697e-27
193,2000.0,2013.0,Religious Group (v5),Fijian Religion (contemporary),0.052399864608768,0.02122535333392724,3.3686391657235513e-13,0.34458949827770363,0.3092797027497448,6.932498465130455e-14,0.028623136041571816,0.0022000066829680753,4.6247834068714675e-05,0.24163619047084153
195,500.0,1100.0,Religious Group (v5),Shakta Religion,0.07316323717434442,0.09648147808492057,0.11763884869707433,0.1385018553560318,0.16124481188821163,0.05399174790109222,0.1681268741930157,0.007715369396097312,0.020831683265425775,0.16230409404378612
