entry_id,entry_name,poll_id,poll_name,description,year_from,year_to,region_id,expert_id,expert_name,editor_id,editor_name,date_created,date_modified,data_source,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7
174,Matthew-James-Didache Movement,35,Religious Group (v5),Matthew-James-Didache Movement,50,160,352,139,Vojtech Kase,18,Robyn Walsh,2014-11-27 23:11:25.000 +0100,2017-11-17 14:55:22.558 +0100,Database of Religious History (DRH),0.04045928575428702,2.752106146688976e-79,1.6606223407585153e-13,0.044956714065508614,0.9145840000629953,1.7526681781455705e-13,2.555889402945447e-27,1.1686772593262562e-10
176,Qumran Movement,35,Religious Group (v5),Qumran Movement,-150,68,486,145,Jutta Jokiranta,58,Jennifer Singletary,2014-11-27 23:22:29.000 +0100,2017-11-17 14:55:22.561 +0100,Database of Religious History (DRH),2.5802719886342772e-05,4.256269064777311e-71,0.9997146023884624,0.0002595948916499529,1.2460867591221285e-15,7.028374994849682e-36,3.308616782004851e-20,3.204769737453112e-36
182,Pauline Christianity,35,Religious Group (v5),Pauline Christianity,48,56,489,146,Anders Petersen,46,Megan Daniels,2015-01-26 20:42:38.000 +0100,2017-11-17 14:55:22.567 +0100,Database of Religious History (DRH),0.9999999999592822,1.9801899877149246e-51,7.852559046442257e-55,1.9509420381198443e-34,4.071779689408685e-11,1.530775726109693e-34,2.2676753322395e-25,1.795281701693805e-32
184,Chinese Buddhism (Northern Wei),35,Religious Group (v5),,386,534,7,20,Eric Greene,6,Matthew Hamm,2015-01-30 00:54:29.944 +0100,2017-11-17 14:55:22.569 +0100,Database of Religious History (DRH),0.002369384775937273,1.8813012029209546e-81,1.5801148399562043e-13,0.06174906575379283,0.25793045027360056,0.003327899556201141,3.1060713043401235e-28,0.6746231996403101
185,Shinnyo-en,35,Religious Group (v5),,1936,2013,86,51,Casey Collins,6,Matthew Hamm,2015-02-04 05:47:04.645 +0100,2017-11-17 14:55:22.571 +0100,Database of Religious History (DRH),0.004782046964094779,7.217091901323691e-78,0.009757610847356584,0.4543204465382522,0.5311398956457852,4.111617247148443e-13,1.3144400487980578e-26,4.099999212115942e-12
193,Fijian Religion (contemporary),35,Religious Group (v5),Fijian Religion (contemporary),2000,2013,32,42,John Shaver,15,John Shaver,2015-03-04 07:15:19.000 +0100,2017-11-17 14:55:22.580 +0100,Database of Religious History (DRH),0.009194970490915244,1.8795837875173685e-80,0.025813049631222718,0.5953906265430939,0.29413911878327464,0.0006825826230253874,4.933982465609165e-16,0.07477965192846765
196,Pauline Christianity (ca. 45-60 CE),35,Religious Group (v5), ,45,60,479,4,Fred Tappenden,18,Robyn Walsh,2015-03-18 18:55:48.000 +0100,2017-11-17 14:55:22.590 +0100,Database of Religious History (DRH),0.0052455601769815586,5.330793306803778e-45,0.00016194606881294232,0.0003400696785638792,0.03598815656126599,0.0024845114513506058,1.204876386178381e-28,0.9557797560630249
211,Amarna Religion,35,Religious Group (v5),"Tell el-Amarna is the modern name for the ancient city, Akhetaten. It was created by Amenhotep IV, who would later change his name to Akhenaten. This ruler emphasized the role of the god Aten, promoting the belief that this god was primary among all other gods in ancient Egypt, and presented himself as the god's one true prophet and intermediary. This meant that the other Egyptians were cut off from direct access to their gods. At this time in Egyptian history, the god Amun had become particularly prominent, and Akhenaten's workers moved through Egypt erasing the name of Amun (as well as his divine family members, Mut and Khonsu). Aten is the solar disk, and so the religion of this period, often referred to as Amarna Religion, emphasizes solar elements. Access to light and sun were central to the practice of Amarna Religion, including leaving temple spaces open. This period is a dramatic and short break from the normal state of affairs in ancient Egypt. After Akhenaten's death, traditional religion was returned to Egypt, with considerable efforts to erase any references to Akhenaten, or, ""that fallen foe from Amarna"". The city of Akhetaten was abandoned, which has left it well preserved for modern excavators. In modern periods, Amarna Religion has often been seen as the earliest monotheistic religion, though this is an oversimplification of at least religious practice at this time. While Akhenaten promoted the Aten as the most important god, and then the only god, there is significant evidence for the worship of other gods at this time, particularly in domestic contexts, including at Amarna. There is therefore evidence that not all Egyptians followed the ideas put forward by Akhenaten. Sigmund Freud, however, who was an avid reader of the Egyptologist James Henry Breasted, identified Amarna as the source of biblical monotheism, which is a big reason that this period is so well known by the public.",-1350,-1320,34,707,Thomas Schneider,5,Courtney Fitzsimmons,2015-04-08 18:45:44.060 +0200,2022-03-11 19:18:39.657 +0100,Database of Religious History (DRH),0.05325616923129632,9.970045208714254e-36,3.545809645725246e-24,3.209940574106002e-13,2.0705798468598807e-26,4.66202645195819e-47,0.9467438307683826,5.012498090147886e-46
211,Amarna Religion,35,Religious Group (v5),"Tell el-Amarna is the modern name for the ancient city, Akhetaten. It was created by Amenhotep IV, who would later change his name to Akhenaten. This ruler emphasized the role of the god Aten, promoting the belief that this god was primary among all other gods in ancient Egypt, and presented himself as the god's one true prophet and intermediary. This meant that the other Egyptians were cut off from direct access to their gods. At this time in Egyptian history, the god Amun had become particularly prominent, and Akhenaten's workers moved through Egypt erasing the name of Amun (as well as his divine family members, Mut and Khonsu). Aten is the solar disk, and so the religion of this period, often referred to as Amarna Religion, emphasizes solar elements. Access to light and sun were central to the practice of Amarna Religion, including leaving temple spaces open. This period is a dramatic and short break from the normal state of affairs in ancient Egypt. After Akhenaten's death, traditional religion was returned to Egypt, with considerable efforts to erase any references to Akhenaten, or, ""that fallen foe from Amarna"". The city of Akhetaten was abandoned, which has left it well preserved for modern excavators. In modern periods, Amarna Religion has often been seen as the earliest monotheistic religion, though this is an oversimplification of at least religious practice at this time. While Akhenaten promoted the Aten as the most important god, and then the only god, there is significant evidence for the worship of other gods at this time, particularly in domestic contexts, including at Amarna. There is therefore evidence that not all Egyptians followed the ideas put forward by Akhenaten. Sigmund Freud, however, who was an avid reader of the Egyptologist James Henry Breasted, identified Amarna as the source of biblical monotheism, which is a big reason that this period is so well known by the public.",-1350,-1320,34,707,Thomas Schneider,5,Courtney Fitzsimmons,2015-04-08 18:45:44.060 +0200,2022-03-11 19:18:39.657 +0100,Database of Religious History (DRH),0.0027142438846437947,8.237588526438039e-37,4.844045871562426e-26,1.7605443107860484e-13,2.740137214124794e-28,4.734910077619031e-49,0.9972857561151802,6.86663196465586e-48
212,Warring States (China) Religion,35,Religious Group (v5),,-481,-206,467,31,Armin Selbitschka,23,Katrinka Reinhart,2015-04-08 19:49:35.725 +0200,2017-11-17 14:55:22.627 +0100,Database of Religious History (DRH),1.5214554076519383e-09,0.9998703155862397,2.4667850769032876e-99,1.3356917312816726e-36,3.107806371339386e-86,3.8514862150100486e-134,0.00012968289230491,2.2743193888942216e-114
224,Old Norse Fornsed,35,Religious Group (v5),,600,1100,31,38,Neil Price,9,Ben Raffield,2015-05-04 19:49:20.232 +0200,2017-11-17 14:55:22.640 +0100,Database of Religious History (DRH),1.0419598684315128e-14,0.9999999999999891,6.773909881773582e-134,6.001838623400868e-48,2.5154515509403763e-123,7.495334313706645e-196,4.3361045894630703e-16,5.166727973579877e-97
