entry_id,entry_name,poll_id,poll_name,description,year_from,year_to,region_id,expert_id,expert_name,editor_id,editor_name,date_created,date_modified,data_source,dim0,dim1,dim2,dim3,dim4,dim5,dim6
174,Matthew-James-Didache Movement,35,Religious Group (v5),Matthew-James-Didache Movement,50,160,352,139,Vojtech Kase,18,Robyn Walsh,2014-11-27 23:11:25.000 +0100,2017-11-17 14:55:22.558 +0100,Database of Religious History (DRH),1.4902024257061808e-08,0.9880946120374848,5.891949240366951e-14,0.0030595584162068238,9.198140867759726e-13,2.2130042131267596e-21,0.00884581464330518
176,Qumran Movement,35,Religious Group (v5),Qumran Movement,-150,68,486,145,Jutta Jokiranta,58,Jennifer Singletary,2014-11-27 23:22:29.000 +0100,2017-11-17 14:55:22.561 +0100,Database of Religious History (DRH),2.1250859222090566e-26,1.2740648502737812e-15,0.9997764144285021,0.0002220515008148468,9.529895793563281e-34,7.959031842890092e-23,1.5340706817899854e-06
182,Pauline Christianity,35,Religious Group (v5),Pauline Christianity,48,56,489,146,Anders Petersen,46,Megan Daniels,2015-01-26 20:42:38.000 +0100,2017-11-17 14:55:22.567 +0100,Database of Religious History (DRH),2.9083189194650377e-28,9.379871603622537e-22,7.567882971141743e-44,8.077969375828907e-34,5.283059191628231e-44,1.6904677780651441e-16,0.9999999999999998
184,Chinese Buddhism (Northern Wei),35,Religious Group (v5),,386,534,7,20,Eric Greene,6,Matthew Hamm,2015-01-30 00:54:29.944 +0100,2017-11-17 14:55:22.569 +0100,Database of Religious History (DRH),0.506988713254754,0.46525665963924356,1.0855028605222648e-13,0.025920592485240944,3.402202820224977e-12,6.064782946597551e-22,0.001834034617250515
185,Shinnyo-en,35,Religious Group (v5),,1936,2013,86,51,Casey Collins,6,Matthew Hamm,2015-02-04 05:47:04.645 +0100,2017-11-17 14:55:22.571 +0100,Database of Religious History (DRH),3.2945122695754565e-12,0.6534439162110433,0.005175772217881582,0.33492693382829447,3.228591468467639e-12,7.05911003528412e-20,0.0064533777362576076
193,Fijian Religion (contemporary),35,Religious Group (v5),Fijian Religion (contemporary),2000,2013,32,42,John Shaver,15,John Shaver,2015-03-04 07:15:19.000 +0100,2017-11-17 14:55:22.580 +0100,Database of Religious History (DRH),0.03205952752567853,0.3038648147417384,0.01669085562392217,0.6148677455642027,0.029333491674812806,9.929006354579456e-20,0.0031835648696455863
196,Pauline Christianity (ca. 45-60 CE),35,Religious Group (v5), ,45,60,479,4,Fred Tappenden,18,Robyn Walsh,2015-03-18 18:55:48.000 +0100,2017-11-17 14:55:22.590 +0100,Database of Religious History (DRH),0.9326227258713682,0.06574753590450101,4.835760007602663e-15,0.0002096907587297525,0.0006547818517155898,1.72318081001388e-21,0.0007652656136805701
211,Amarna Religion,35,Religious Group (v5),"Tell el-Amarna is the modern name for the ancient city, Akhetaten. It was created by Amenhotep IV, who would later change his name to Akhenaten. This ruler emphasized the role of the god Aten, promoting the belief that this god was primary among all other gods in ancient Egypt, and presented himself as the god's one true prophet and intermediary. This meant that the other Egyptians were cut off from direct access to their gods. At this time in Egyptian history, the god Amun had become particularly prominent, and Akhenaten's workers moved through Egypt erasing the name of Amun (as well as his divine family members, Mut and Khonsu). Aten is the solar disk, and so the religion of this period, often referred to as Amarna Religion, emphasizes solar elements. Access to light and sun were central to the practice of Amarna Religion, including leaving temple spaces open. This period is a dramatic and short break from the normal state of affairs in ancient Egypt. After Akhenaten's death, traditional religion was returned to Egypt, with considerable efforts to erase any references to Akhenaten, or, ""that fallen foe from Amarna"". The city of Akhetaten was abandoned, which has left it well preserved for modern excavators. In modern periods, Amarna Religion has often been seen as the earliest monotheistic religion, though this is an oversimplification of at least religious practice at this time. While Akhenaten promoted the Aten as the most important god, and then the only god, there is significant evidence for the worship of other gods at this time, particularly in domestic contexts, including at Amarna. There is therefore evidence that not all Egyptians followed the ideas put forward by Akhenaten. Sigmund Freud, however, who was an avid reader of the Egyptologist James Henry Breasted, identified Amarna as the source of biblical monotheism, which is a big reason that this period is so well known by the public.",-1350,-1320,34,707,Thomas Schneider,5,Courtney Fitzsimmons,2015-04-08 18:45:44.060 +0200,2022-03-11 19:18:39.657 +0100,Database of Religious History (DRH),1.1997554645206674e-32,2.994251500786425e-25,8.465057712448901e-24,1.1387674398853243e-23,7.653335956271407e-56,0.8764714658867107,0.12352853411328947
211,Amarna Religion,35,Religious Group (v5),"Tell el-Amarna is the modern name for the ancient city, Akhetaten. It was created by Amenhotep IV, who would later change his name to Akhenaten. This ruler emphasized the role of the god Aten, promoting the belief that this god was primary among all other gods in ancient Egypt, and presented himself as the god's one true prophet and intermediary. This meant that the other Egyptians were cut off from direct access to their gods. At this time in Egyptian history, the god Amun had become particularly prominent, and Akhenaten's workers moved through Egypt erasing the name of Amun (as well as his divine family members, Mut and Khonsu). Aten is the solar disk, and so the religion of this period, often referred to as Amarna Religion, emphasizes solar elements. Access to light and sun were central to the practice of Amarna Religion, including leaving temple spaces open. This period is a dramatic and short break from the normal state of affairs in ancient Egypt. After Akhenaten's death, traditional religion was returned to Egypt, with considerable efforts to erase any references to Akhenaten, or, ""that fallen foe from Amarna"". The city of Akhetaten was abandoned, which has left it well preserved for modern excavators. In modern periods, Amarna Religion has often been seen as the earliest monotheistic religion, though this is an oversimplification of at least religious practice at this time. While Akhenaten promoted the Aten as the most important god, and then the only god, there is significant evidence for the worship of other gods at this time, particularly in domestic contexts, including at Amarna. There is therefore evidence that not all Egyptians followed the ideas put forward by Akhenaten. Sigmund Freud, however, who was an avid reader of the Egyptologist James Henry Breasted, identified Amarna as the source of biblical monotheism, which is a big reason that this period is so well known by the public.",-1350,-1320,34,707,Thomas Schneider,5,Courtney Fitzsimmons,2015-04-08 18:45:44.060 +0200,2022-03-11 19:18:39.657 +0100,Database of Religious History (DRH),2.6891060237653073e-34,1.0621600588132724e-26,4.1279566933679195e-25,1.2829983025139875e-23,2.740394957724462e-58,0.9698393250292379,0.030160674970762087
212,Warring States (China) Religion,35,Religious Group (v5),,-481,-206,467,31,Armin Selbitschka,23,Katrinka Reinhart,2015-04-08 19:49:35.725 +0200,2017-11-17 14:55:22.627 +0100,Database of Religious History (DRH),1.8040506435376253e-92,1.6736661224522913e-113,3.7968338752492404e-96,1.0110962724738935e-34,4.90936398906529e-135,1.0,1.973669482537761e-17
