entry_id,entry_name,poll_id,poll_name,description,year_from,year_to,region_id,expert_id,expert_name,editor_id,editor_name,date_created,date_modified,data_source,dim0,dim1,dim2,dim3,dim4,dim5,dim6
173,Johannine Christianity,35,Religious Group (v5),Johannine Christianity,90,120,483,138,Rikard Roitto,18,Robyn Walsh,2014-11-27 23:05:55.000 +0100,2017-11-17 14:55:22.556 +0100,Database of Religious History (DRH),0.07699765334488487,0.007631642267762285,3.179494488474026e-13,0.8730718145863575,0.03792332860805245,0.003564240607216717,0.0008113205854083185
174,Matthew-James-Didache Movement,35,Religious Group (v5),Matthew-James-Didache Movement,50,160,352,139,Vojtech Kase,18,Robyn Walsh,2014-11-27 23:11:25.000 +0100,2017-11-17 14:55:22.558 +0100,Database of Religious History (DRH),0.0016578537784123484,0.0018769419502033759,3.0188670880310195e-13,0.966215202107928,0.02634337313868595,0.003776096636661022,0.00013053238780746498
176,Qumran Movement,35,Religious Group (v5),Qumran Movement,-150,68,486,145,Jutta Jokiranta,58,Jennifer Singletary,2014-11-27 23:22:29.000 +0100,2017-11-17 14:55:22.561 +0100,Database of Religious History (DRH),1.6963941987256977e-21,0.016327696282056374,7.951742284001488e-23,6.294350214652911e-19,0.9836355283955923,1.2760690665020623e-12,3.6775321075185725e-05
178,Ancestral Cult of the Han,35,Religious Group (v5),,-206,220,104,69,Ken Brashier,45,Matthew Hamm,2015-01-16 23:33:23.277 +0100,2017-11-17 14:55:22.563 +0100,Database of Religious History (DRH),0.27498410160486425,0.2798695828245856,0.03803476471066409,0.2765953419275295,0.0631146431828367,0.0006069137196752293,0.06679465202984464
180,Chinese Folk Religion,35,Religious Group (v5),,-350,200,10,18,Mu-chou Poo,6,Matthew Hamm,2015-01-20 04:08:04.848 +0100,2017-11-17 14:55:22.564 +0100,Database of Religious History (DRH),0.27498410160486425,0.2798695828245856,0.03803476471066409,0.2765953419275295,0.0631146431828367,0.0006069137196752293,0.06679465202984464
182,Pauline Christianity,35,Religious Group (v5),Pauline Christianity,48,56,489,146,Anders Petersen,46,Megan Daniels,2015-01-26 20:42:38.000 +0100,2017-11-17 14:55:22.567 +0100,Database of Religious History (DRH),0.00044267021504455653,0.02202603598607617,1.8352644729964334e-13,0.9562096628007173,0.021311690696003235,2.0332685690659634e-14,9.94030195492412e-06
184,Chinese Buddhism (Northern Wei),35,Religious Group (v5),,386,534,7,20,Eric Greene,6,Matthew Hamm,2015-01-30 00:54:29.944 +0100,2017-11-17 14:55:22.569 +0100,Database of Religious History (DRH),0.13619967500737065,0.22534115664417026,0.08281749952513474,0.2136261442954985,0.08771843859231661,0.18746435631178954,0.06683272962371967
185,Shinnyo-en,35,Religious Group (v5),,1936,2013,86,51,Casey Collins,6,Matthew Hamm,2015-02-04 05:47:04.645 +0100,2017-11-17 14:55:22.571 +0100,Database of Religious History (DRH),0.30357957315545026,0.5514479908199892,1.958476907111954e-12,0.03659806990875722,0.031215084062434315,1.8134725646143197e-12,0.07715928204959703
186,Buddhism (Late Ming),35,Religious Group (v5),,1590,1644,138,22,Beverley Foulks McGuire,6,Matthew Hamm,2015-02-04 06:37:13.108 +0100,2017-11-17 14:55:22.572 +0100,Database of Religious History (DRH),0.18818339093228373,0.19115230489247767,0.13272019028253873,0.1526832701688487,0.11123106017606625,0.1563296350164905,0.06770014853129445
187,Chinese State Religion (Shang and Western Zhou),35,Religious Group (v5),,-1750,-850,7,17,Lothar von Falkenhausen,23,Katrinka Reinhart,2015-02-11 00:40:37.114 +0100,2017-11-17 14:55:22.573 +0100,Database of Religious History (DRH),0.2262809392503169,0.7581034461915152,1.76879255058291e-13,1.9320224142183826e-10,0.013612363241053853,6.88221121471406e-27,0.002003251123734877
