entry_id,year_from,year_to,poll,entry_name,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13
173,90.0,120.0,Religious Group (v5),Johannine Christianity,0.49951382310761405,0.0009122045050496938,0.0063494853335526,0.008007541278593313,0.34053457105811713,0.13132330072909357,2.1938545823673295e-13,9.497086659577226e-08,0.0009357006014154258,0.010462931185002303,5.179945437500611e-06,0.001955157323099255,9.961919929676733e-09,1.9116901834473696e-14
174,50.0,160.0,Religious Group (v5),Matthew-James-Didache Movement,0.5112951353273619,0.0005063207519174458,0.007619782612201971,5.108441896948204e-14,0.3676545882738373,0.1005190553962964,1.746265809761356e-14,1.1417441742573472e-07,0.00015008251366625214,0.009903262975541345,1.1587495582273498e-06,0.002350499225111336,6.1810634276791e-20,2.1730227571499133e-14
176,-150.0,68.0,Religious Group (v5),Qumran Movement,4.621897275295212e-17,2.9121701062569066e-12,0.9968549012610485,1.1664913233497185e-24,1.5560540085768988e-12,2.7085144606154903e-22,2.5068905370650353e-25,1.884883110011213e-22,0.0031450987340159208,6.317255960583057e-33,1.9148934685190257e-16,1.4120719358660967e-23,3.4573945690257965e-51,4.670857893201438e-13
178,-206.0,220.0,Religious Group (v5),Ancestral Cult of the Han,0.1579609954024943,0.0007092315449435789,0.010857781524081624,0.12977530797203463,0.13861308764324873,0.14266374888424224,0.1085765699063131,1.8119062891182146e-08,0.14680669726093368,0.008208831944688902,0.005125554565015455,0.02051452961653195,0.12388357124441723,0.006304074371991913
180,-350.0,200.0,Religious Group (v5),Chinese Folk Religion,0.1579609954024943,0.0007092315449435789,0.010857781524081624,0.12977530797203463,0.13861308764324873,0.14266374888424224,0.1085765699063131,1.8119062891182146e-08,0.14680669726093368,0.008208831944688902,0.005125554565015455,0.02051452961653195,0.12388357124441723,0.006304074371991913
182,48.0,56.0,Religious Group (v5),Pauline Christianity,1.1306260676907325e-11,6.5145141839279635e-15,0.020330961159991254,5.593889107035415e-15,0.9763695378075041,3.724067627284844e-12,2.204233116577876e-25,1.0981744480376024e-18,0.003299501017178755,1.3762074818224147e-13,1.2034109910957504e-17,4.114202217163165e-14,3.655998282412655e-20,1.0465731069254265e-13
184,386.0,534.0,Religious Group (v5),Chinese Buddhism (Northern Wei),0.16316059142110315,0.11795657797591752,0.012059684759204247,0.06944022927007851,0.11798189087946545,0.10043955558068844,0.09321247552000211,0.07563385088016744,0.11866458278762347,0.06706968993592123,0.00837237629587651,0.05005823111775678,3.795349090584668e-08,0.005950225622704249
185,1936.0,2013.0,Religious Group (v5),Shinnyo-en,0.026698564576880527,3.619803014142144e-12,0.007157347398581836,0.2336872307825237,0.04163685130497717,4.2456821428174535e-09,0.25964845766026196,1.4094664600197222e-12,0.4240022698428738,1.7239207663638596e-12,0.007169201503561108,1.5939156551017595e-12,7.267614587442101e-08,1.6474543150975182e-13
186,1590.0,1644.0,Religious Group (v5),Buddhism (Late Ming),0.06232773862454639,0.056499888245213924,0.06796081453383464,0.07187220872296603,0.09842150436589393,0.09087777080268003,0.07172662237799395,0.09740896983770199,0.09269366600670385,0.04890804707756545,0.022681849782495277,0.03335277483225972,0.08684664042417851,0.09842150436596618
187,-1750.0,-850.0,Religious Group (v5),Chinese State Religion (Shang and Western Zhou),1.676623843001898e-14,2.1598593587689244e-25,0.006880283951165849,0.10796649960894651,0.02558345736292518,1.1444041648246296e-19,1.7311936007747571e-12,7.165026791935901e-41,0.8595697590704146,6.58111644979649e-35,1.1155784399702344e-14,4.525889495857925e-24,4.673688872340421e-12,1.1515079992889198e-13
