question_id,question_short,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,question_mean
2899,other elite loyalty,0.35722274915790125,0.35862966763469084,0.13074336651334767,0.23626006777711636,0.07176948444963459,0.045403691803576965,0.42484319257705383,0.04041450653626886,0.13817103848416426,0.19680851063829788
2910,is kin to elites,0.3601303762363886,0.02867072206276531,0.20825392858419547,1.7606632062770007e-08,0.03194806968470868,0.042983923474059986,0.33793071555515863,1.3553155050322732e-12,3.2496675328741597e-12,0.10906040268456375
2941,is anthropomorphic,0.9734724022429663,0.4328719048681646,0.3883941861312794,0.6577382466586622,0.11702681086242475,0.6864568716246965,0.9475934819147167,0.6040491453905329,0.30331974371321213,0.5961227786752827
2944,is chthonic,0.3038055683223888,0.07402089565542758,2.0452595962583716e-12,4.397209400519118e-12,0.5715230925698817,0.40869557295517717,0.1001066214410356,1.7434499938647677e-12,1.9384110459189435e-10,0.15161290322580645
2948,is sky deity,0.7842323252922172,0.5592302969739684,0.5111480652067697,0.6956918023352809,0.9658257692786875,0.9999999999958583,0.7259987612383457,0.11653391799633336,1.5042731538352065e-06,0.5939490445859873
2958,is monarch fused,0.7164749537860284,2.913976785828117e-12,0.09274505051621877,0.07915293262538779,0.06129741989173956,0.05774479467790856,0.05667282527503543,0.04061485430924267,0.05109062573437279,0.11164274322169059
2984,is unquestionably good,0.7454906101423275,0.9999999965091496,0.6473687604293252,0.9011534434615556,0.9999999999978073,0.9999999999971565,0.3215132939320767,0.9598314926582264,0.9663372949050874,0.8392226148409894
3192,positive emotion,0.9999999999980279,0.9999999999984124,0.1368612195106817,0.9999999999972637,0.4834701121370215,0.999999999998545,0.9446462767867512,0.9999999999937191,0.6227106187636912,0.8391224862888482
3218,permissible to worship other god?,0.8123103076101897,0.35303651592436636,0.8332731438428275,0.36740411422514657,0.23100672470506173,0.04238713921714813,0.9931173097894022,0.04477060853393496,0.1486408600513514,0.4271523178807947
3229,negative emotion,0.9514273167628149,0.9820732969764965,3.9420813972471454e-12,0.7858942839696258,0.11836197532107547,0.9999999999971368,0.9118871187102867,0.9999999999968451,0.1674334202379888,0.7150735294117647
3233,knowledge this world,0.9999999999980611,0.9999999999980262,0.8406061450482597,0.9425640394428149,0.9999999999980316,0.9999999999986273,0.9896622104912772,0.999999999998604,0.9999999999971952,0.9802631578947368
3247,causal efficacy the world,0.9793629157148529,0.9522528713724973,0.5014197787266572,0.7784527123243055,0.9999999999976993,0.9999999999968321,0.9999999999979571,0.9986876414187369,0.9999007194788901,0.9223140495867769
3283,possesses hunger,0.4749928739363984,0.6591026350751514,0.06095937122922546,0.040746203968239386,1.0878585807914944e-11,0.16852718806309874,0.790873385574501,2.97373942093304e-07,1.9018679925380816e-12,0.2485981308411215
3288,indirect causal efficacy the world,0.9445136246508495,0.6726602728336744,0.8364112353179759,0.4901711826426125,0.9695675676420864,0.9276277466041287,0.880350253114437,0.8482853998108096,0.6222290729437776,0.8011049723756906
3296,communicates with living,0.9999999999921586,0.9999999999978988,0.37766353883366044,0.6496748090834326,0.906991913127128,0.948561274461859,0.9108466975530325,0.9999999999970555,0.869420318333305,0.8629893238434164
3328,is monarch manifestation,0.8883252267937625,0.3006534409804738,0.16447233463353908,0.04113458879066921,0.044193742807331654,0.11669319663687247,2.7812074097185544e-12,0.03182345231766774,2.4792955890364735e-12,0.15883306320907617
