entry_id,entry_name,question_id,question_name,social_complexity_large
173,Johannine Christianity,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
174,Matthew-James-Didache Movement,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
176,Qumran Movement,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
184,Chinese Buddhism (Northern Wei),3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
200,Nechung Cult,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
211,Amarna Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
212,Warring States (China) Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
224,Old Norse Fornsed,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
228,Late Chosŏn Korea,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
230,Religion in Mesopotamia,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
231,Roman private religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
255,Talismanic Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
256,Etruscan Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
263,Irish Catholicism,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
284,Yolngu religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
287,Mithraism,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
294,Xuanxue 玄學,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
299,Shang State Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
300,Israelite Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
325,Religion at Mawangdui,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
342,Jesus Associations and the Synoptic Gospels,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
354,Priests and Scholars of Hellenistic Uruk,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
355,Paul the Apostle,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
358,16th-17th c. Gauḍīya Vaiṣṇava Tradition,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
361,Classical Greek Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
374,Non-dual Śaiva Tantra,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
381,Sikhism: Guru Nanak to Guru Arjan,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
383,Varkaris,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
386,Kapingamarangi,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
390,Dasara,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
392,Sikhism: Guru Hargobind to Guru Gobind Singh,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
395,International Society for Krishna Consciousness (ISKCON),3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
400,Singaporean Mega-Churches,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
406,Daoism,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
415,Shaiva World Renouncers,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
416,Edinoverie,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
419,The Worship of Jagannath in Puri (Odisha),3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
422,Demeter Cult,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
424,Achaemenid Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
435,Mongol Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
439,Śaiva Magic,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
440,"Jain Digambara Tantra, Karnataka",3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
441,Worshipers of Śītalā,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
442,Donatism,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
455,Lan Na Buddhism,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
456,The Essenes,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
462,Tukano,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
470,Archaic Spartan Cults,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
472,Karma Kagyu or Kamtsang Kagyu,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
476,Cham Bani,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
477,Tractarian Movement,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
478,Early Indian Buddhism,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
481,Huichol,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
482,Miskito,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
483,Northern Irish Roman Catholics,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
484,Northern Irish Protestants,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
485,Sámi pre-Christian religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
486,Church of Jesus Christ of Latter-day Saints (early),3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
490,Guglielmites,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
492,Roman Divination,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
493,Krishna Worship in North India - Modern Period,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
520,Cham Ahiér,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
525,Church of Jesus Christ of Latter-day Saints (modern),3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
526,Hmong Christianity,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
534,Roman Imperial Cult,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
562,Medieval Śrīvaiṣṇavism,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
563,"Gaddi, a Hindu community of the Western Himalayas",5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
564,Tribal Christianity (and allied castes) in the Himalayas,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
565,Fellahin,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
570,Supreme Master Ching Hai World Society,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
571,Abkhaz,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
572,Trobrianders,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
574,Konso,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
576,Kuy traditional religions,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
577,Ganda,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
578,Gond,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
580,Nāth Sampradāya,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
581,Mentawai (Rereiket),3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
586,Kelantanese Thai Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
588,Nyakyusa,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
589,Warrau,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
590,Huayan School (Early Tang),3492,The society to which the religious group belongs is best characterized as (please choose one):,1.0
594,Wolof,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
595,Western Samoans,3492,The society to which the religious group belongs is best characterized as (please choose one):,0.0
597,Confucianism - Eastern Zhou,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
598,Masai,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
600,Riffians,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
602,Amhara,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
607,Mohism,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
608,Kurd,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
609,Tallensi,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
610,Somali,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
613,Maori,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
614,!Kung,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
618,Nuxalk,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
620,Papago,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
621,Haitians,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
622,Miskito,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
623,Diasporic American Hinduism,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
624,The Roshaniyya,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
625,Copper Inuit,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
626,Barama River Carib,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
629,Newar Buddhists,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
632,Local Religion at Selinous,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
633,Mādhva,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
635,Ifugao,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
636,Balinese Śaiva priests (pedanda siwa),5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
637,Yahgan,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
639,Chinese Esoteric Buddhism (Tang Tantrism),5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
646,Lakota Religious Traditions,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
650,Manus,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
651,Kapauku,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
652,Tiwi,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
654,12th-13th c Cistercians,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
655,Siriono,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
657,Trukese,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
658,Mapuche,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
660,Iban,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
661,Congregation of Savigny,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
662,Goajiro,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
671,Mbau Fijians,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
673,Pawnee,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
674,Aymara,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
675,Chukchee,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
677,Yapese,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
679,Santal,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
680,Gujarati Mata Worshipers,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
681,Sargonic Empire,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
682,Lakher,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
684,Huron,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
685,Badjau,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
686,Popoluca,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
688,Darul Uloom Deoband,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
689,Lengua,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
690,Ahl-e-Sunnat wa Jamaat,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
691,Fur,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
710,Hidatsa,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
712,Huichol,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
714,Tamil Śaiva Bhakti,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
717,Igbo,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
719,Hinduism in Trinidad,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
721,Semang,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
722,Gros Ventre,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
727,Raglai,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
729,Kikuyu,5174,The society to which the religious group belongs is best characterized as (please choose one):,0.0
738,Ancient Egyptian,5174,The society to which the religious group belongs is best characterized as (please choose one):,1.0
