entry_id,question_short,answer_value,entry_name,year_from,christian,islamic,chinese,buddhist,poll_group,world_region,literacy,year_norm
173,is unquestionably good,1,Johannine Christianity,90,1,0,0,0,1,Southwest Asia,1,0.636978579481398
174,is unquestionably good,1,Matthew-James-Didache Movement,50,1,0,0,0,1,Southwest Asia,1,0.6294626080420894
176,is unquestionably good,1,Qumran Movement,-150,0,0,0,0,1,Southwest Asia,1,0.5918827508455468
182,is unquestionably good,1,Pauline Christianity,48,1,0,0,0,1,Europe,1,0.629086809470124
184,is unquestionably good,1,Chinese Buddhism (Northern Wei),386,0,0,1,1,1,East Asia,0,0.6925967681322811
185,is unquestionably good,1,Shinnyo-en,1936,0,0,0,0,1,East Asia,0,0.9838406614054866
190,is unquestionably good,1,Sri Lankan Buddhism (1948-Present),1948,0,0,0,1,1,South Asia,1,0.9860954528372792
196,is unquestionably good,1,Pauline Christianity (ca. 45-60 CE),45,1,0,0,0,1,Europe,1,0.6285231116121759
197,is unquestionably good,1,Gönlung Monastery (dgon lung byams pa gling),1604,0,0,0,1,1,East Asia,0,0.9214580984592259
199,is unquestionably good,1,Mithraism,100,0,0,0,0,1,Europe,0,0.6388575723412251
211,is unquestionably good,1,Amarna Religion,-1350,0,0,0,0,1,Africa,1,0.3664036076662909
212,is unquestionably good,0,Warring States (China) Religion,-481,0,0,1,0,1,East Asia,1,0.5296880871852687
224,is unquestionably good,0,Old Norse Fornsed,600,0,0,0,0,1,Europe,1,0.7328072153325818
228,is unquestionably good,1,Late Chosŏn Korea,1600,0,0,0,0,1,East Asia,1,0.920706501315295
230,is unquestionably good,0,Religion in Mesopotamia,-3300,0,0,0,0,1,Southwest Asia,1,0.0
245,is unquestionably good,1,Warring States Confucian Thought,-450,0,0,1,0,1,East Asia,0,0.5355129650507328
263,is unquestionably good,1,Irish Catholicism,2000,1,0,0,0,1,Europe,1,0.9958662157083803
294,is unquestionably good,0,Xuanxue 玄學,200,0,0,1,0,1,East Asia,1,0.6576475009394964
308,is unquestionably good,0,Neo-Assyrian Scholars,-900,0,0,0,0,1,Southwest Asia,0,0.4509582863585118
355,is unquestionably good,1,Paul the Apostle,50,1,0,0,0,1,Europe,1,0.6294626080420894
358,is unquestionably good,1,16th-17th c. Gauḍīya Vaiṣṇava Tradition,1500,0,0,0,0,1,South Asia,1,0.9019165727170236
361,is unquestionably good,0,Classical Greek Religion,-500,0,0,0,0,1,Europe,1,0.5261180007515971
381,is unquestionably good,1,Sikhism: Guru Nanak to Guru Arjan,1469,0,0,0,0,1,South Asia,1,0.8960916948515596
383,is unquestionably good,1,Varkaris,1200,0,0,0,0,1,South Asia,1,0.8455467869222097
390,is unquestionably good,0,Dasara,1610,0,0,0,0,1,South Asia,1,0.9225854941751221
392,is unquestionably good,1,Sikhism: Guru Hargobind to Guru Gobind Singh,1606,0,0,0,0,1,South Asia,1,0.9218338970311912
395,is unquestionably good,1,International Society for Krishna Consciousness (ISKCON),1966,0,0,0,0,1,Africa,1,0.9894776399849681
400,is unquestionably good,1,Singaporean Mega-Churches,1980,1,0,0,0,1,Southeast Asia,1,0.992108229988726
416,is unquestionably good,1,Edinoverie,1800,1,0,0,0,1,Europe,1,0.9582863585118376
420,is unquestionably good,1,Swaminarayan Sampraday,1800,0,0,0,0,1,Africa,1,0.9582863585118376
424,is unquestionably good,1,Achaemenid Religion,-550,0,0,0,0,1,Southwest Asia,1,0.5167230364524614
439,is unquestionably good,0,Śaiva Magic,800,0,0,0,0,1,South Asia,0,0.7703870725291244
441,is unquestionably good,0,Worshipers of Śītalā,1690,0,0,0,1,1,South Asia,1,0.9376174370537392
442,is unquestionably good,1,Donatism,311,1,0,0,0,1,Africa,1,0.6785043216835775
456,is unquestionably good,1,The Essenes,-165,0,0,0,0,1,Southwest Asia,1,0.589064261555806
472,is unquestionably good,1,Karma Kagyu or Kamtsang Kagyu,1110,0,0,0,1,1,South Asia,1,0.8286358511837655
476,is unquestionably good,1,Cham Bani,1000,0,1,0,0,1,Southeast Asia,1,0.8079669297256671
477,is unquestionably good,1,Tractarian Movement,1833,1,0,0,0,1,Europe,1,0.9644870349492672
479,is unquestionably good,0,Mesopotamian city-state cults of the Early Dynastic periods,-2900,0,0,0,0,1,Southwest Asia,1,0.0751597143930853
483,is unquestionably good,1,Northern Irish Roman Catholics,2015,1,0,0,0,1,Europe,1,0.998684704998121
484,is unquestionably good,1,Northern Irish Protestants,2015,1,0,0,0,1,Europe,1,0.998684704998121
486,is unquestionably good,1,Church of Jesus Christ of Latter-day Saints (early),1830,1,0,0,0,1,North America,1,0.963923337091319
490,is unquestionably good,1,Guglielmites,1260,1,0,0,0,1,Europe,1,0.8568207440811725
492,is unquestionably good,0,Roman Divination,-800,0,0,0,0,1,Europe,1,0.46974821495678315
520,is unquestionably good,0,Cham Ahiér,1600,0,0,0,0,1,Southeast Asia,1,0.920706501315295
525,is unquestionably good,1,Church of Jesus Christ of Latter-day Saints (modern),1951,1,0,0,0,1,Africa,1,0.9866591506952274
526,is unquestionably good,1,Hmong Christianity,1900,1,0,0,0,1,Southeast Asia,1,0.977076287110109
535,is unquestionably good,0,Pāśupatas,200,0,0,0,0,1,South Asia,1,0.6576475009394964
562,is unquestionably good,1,Medieval Śrīvaiṣṇavism,1017,0,0,0,0,1,South Asia,1,0.8111612175873731
563,is unquestionably good,1,"Gaddi, a Hindu community of the Western Himalayas",1845,0,0,0,0,1,South Asia,1,0.9667418263810598
564,is unquestionably good,1,Tribal Christianity (and allied castes) in the Himalayas,1950,1,0,0,0,1,South Asia,1,0.9864712514092446
567,is unquestionably good,1,Gay and Lesbian Vaishnava Association (GALVA-108),2001,0,0,0,0,1,Europe,1,0.996054114994363
570,is unquestionably good,1,Supreme Master Ching Hai World Society,1986,1,0,0,1,1,Southeast Asia,1,0.9932356257046223
580,is unquestionably good,0,Nāth Sampradāya,1700,0,0,0,0,1,South Asia,1,0.9394964299135663
589,is unquestionably good,0,Warrau,1915,0,0,0,0,1,South America,0,0.9798947763998497
592,is unquestionably good,0,Veerashaivas,1200,0,0,0,0,1,South Asia,1,0.8455467869222097
607,is unquestionably good,0,Mohism,-400,0,0,1,0,1,East Asia,1,0.5449079293498684
613,is unquestionably good,1,Maori,1800,0,0,0,0,1,Oceania-Australia,1,0.9582863585118376
620,is unquestionably good,0,Papago,1900,0,0,0,0,1,North America,0,0.977076287110109
624,is unquestionably good,1,The Roshaniyya,1550,0,1,0,0,1,South Asia,1,0.9113115370161593
632,is unquestionably good,0,Local Religion at Selinous,-650,0,0,0,0,1,Europe,1,0.49793310785419015
633,is unquestionably good,1,Mādhva,1238,0,0,0,0,1,South Asia,1,0.8526869597895528
636,is unquestionably good,0,Balinese Śaiva priests (pedanda siwa),1500,0,0,0,0,1,Southeast Asia,1,0.9019165727170236
639,is unquestionably good,1,Chinese Esoteric Buddhism (Tang Tantrism),716,0,0,0,1,1,East Asia,1,0.7546035325065765
645,is unquestionably good,1,"Meo Muslim, Mev, Mewati Muslim",1100,0,1,0,0,1,South Asia,1,0.8267568583239384
649,is unquestionably good,1,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",700,0,0,0,0,1,South Asia,1,0.7515971439308531
661,is unquestionably good,1,Congregation of Savigny,1113,1,0,0,0,1,Europe,1,0.8291995490417137
676,is unquestionably good,1,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500",1198,1,0,0,0,1,Europe,1,0.8451709883502443
680,is unquestionably good,1,Gujarati Mata Worshipers,1850,0,0,0,0,1,South Asia,1,0.9676813228109733
688,is unquestionably good,1,Darul Uloom Deoband,1866,0,1,0,0,1,South Asia,1,0.9706877113866967
690,is unquestionably good,1,Ahl-e-Sunnat wa Jamaat,1880,0,1,0,0,1,South Asia,1,0.9733183013904547
714,is unquestionably good,0,Tamil Śaiva Bhakti,550,0,0,0,0,1,South Asia,1,0.7234122510334461
717,is unquestionably good,1,Igbo,1910,0,0,0,0,1,Africa,0,0.9789552799699361
719,is unquestionably good,1,Hinduism in Trinidad,1845,0,0,0,0,1,North America,1,0.9667418263810598
727,is unquestionably good,1,Raglai,1160,0,0,0,0,1,Southeast Asia,1,0.8380308154829011
738,is unquestionably good,0,Ancient Egyptian,-3000,0,0,0,0,1,Africa,1,0.05636978579481398
752,is unquestionably good,1,Haroi,1470,0,0,0,0,1,Southeast Asia,1,0.8962795941375423
755,is unquestionably good,1,Uyghur Islam,1850,0,1,0,0,1,Central Eurasia,1,0.9676813228109733
759,is unquestionably good,1,Comanche,1855,0,0,0,0,1,North America,0,0.9686208192408868
771,is unquestionably good,1,Muscular Christianity,1762,1,0,0,0,1,Europe,1,0.9511461856444946
788,is unquestionably good,0,The Late Bronze Age City-State of Ugarit,-1500,0,0,0,0,1,Southwest Asia,1,0.3382187147688839
812,is unquestionably good,0,Temple of the Jedi Order,2007,0,0,0,0,1,Africa,1,0.9971815107102593
839,is unquestionably good,1,19th century German Protestantism,1788,1,0,0,0,1,Europe,1,0.9560315670800451
842,is unquestionably good,1,American Evangelicalism,1730,1,0,0,0,1,North America,1,0.9451334084930477
843,is unquestionably good,1,Bnay Qyāmā and Bnāt Qyāmā,300,1,0,0,0,1,Southwest Asia,1,0.6764374295377678
846,is unquestionably good,1,Xuanzang's Yogācāra Tradition,645,0,0,0,1,1,East Asia,1,0.7412626832018039
848,is unquestionably good,0,Sadducees,-200,0,0,0,0,1,Southwest Asia,1,0.5824877865464111
849,is unquestionably good,1,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",1750,0,0,0,0,1,North America,0,0.948891394212702
851,is unquestionably good,1,Sikhism in the United States,1899,0,0,0,0,1,North America,1,0.9768883878241262
854,is unquestionably good,1,pre-Christian Irish,-400,0,0,0,0,1,Europe,1,0.5449079293498684
855,is unquestionably good,1,Middle-Class Migrant Muslims in the UAE,1900,0,1,0,0,1,Southwest Asia,1,0.977076287110109
857,is unquestionably good,1,Wesleyanism,1738,1,0,0,0,1,Africa,1,0.9466366027809094
858,is unquestionably good,1,"The New Prophecy or ""Montanism""",165,1,0,0,0,1,Europe,1,0.6510710259301015
859,is unquestionably good,1,Valentinians,135,1,0,0,0,1,Europe,1,0.64543404735062
860,is unquestionably good,1,Kimpa Vita,1704,0,0,0,0,1,Africa,0,0.9402480270574972
862,is unquestionably good,0,Ilm-e-Khshnoom,1907,0,0,0,0,1,South Asia,1,0.978391582111988
863,is unquestionably good,1,Orphism,-550,0,0,0,0,1,Europe,1,0.5167230364524614
867,is unquestionably good,0,Nyingma Treasure,1200,0,0,0,1,1,South Asia,1,0.8455467869222097
869,is unquestionably good,1,Sichuan Esoteric Buddhist Cult,855,0,0,1,1,1,East Asia,1,0.7807215332581736
871,is unquestionably good,1,Spiritualism,1848,0,0,0,0,1,North America,1,0.9673055242390078
873,is unquestionably good,1,The Branch Davidians,1962,1,0,0,0,1,North America,1,0.9887260428410372
879,is unquestionably good,1,Free Methodist Church,1860,1,0,0,0,1,Africa,1,0.9695603156708005
880,is unquestionably good,1,Egyptian Salafism (inluding North Africa and West Asia),1870,0,1,0,0,1,Southwest Asia,1,0.9714393085306275
882,is unquestionably good,1,Orphism,-450,0,0,0,0,1,Europe,1,0.5355129650507328
883,is unquestionably good,1,Catholics in the People's Republic of China (PRC),1949,1,0,1,0,1,Central Eurasia,1,0.9862833521232619
884,is unquestionably good,1,Sub Saharan Africa Pentecostalism,1907,0,0,0,0,1,Africa,1,0.978391582111988
885,is unquestionably good,1,Contemporary West African Vodun,-1960,0,0,0,0,1,Africa,1,0.25178504321683576
886,is unquestionably good,1,Pushtimarg (The Path of Grace) in the UK and Gujarat,1990,0,0,0,0,1,Europe,1,0.9939872228485531
887,is unquestionably good,0,Postsocialist Mongolian Shamanism,1990,0,0,0,0,1,Central Eurasia,1,0.9939872228485531
888,is unquestionably good,1,Céli Dé monks,780,1,0,0,0,1,Europe,1,0.7666290868094702
891,is unquestionably good,1,Peruvian Mormons,1956,1,0,0,0,1,South America,1,0.9875986471251409
892,is unquestionably good,1,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,1960,1,0,0,0,1,North America,1,0.9883502442690718
893,is unquestionably good,0,Sethian Gnostic,100,1,0,0,0,1,Europe,1,0.6388575723412251
