entry_id,question_id,poll_name,question_short,answer_value,weight
23,2899,Religious Group (v5),other elite loyalty,,1.0
23,2910,Religious Group (v5),is kin to elites,,1.0
23,2941,Religious Group (v5),is anthropomorphic,,1.0
23,2944,Religious Group (v5),is chthonic,,1.0
23,2948,Religious Group (v5),is sky deity,,1.0
23,2958,Religious Group (v5),is monarch fused,,1.0
23,2984,Religious Group (v5),is unquestionably good,,1.0
23,3192,Religious Group (v5),positive emotion,,1.0
23,3229,Religious Group (v5),negative emotion,,1.0
23,3233,Religious Group (v5),knowledge this world,,1.0
23,3247,Religious Group (v5),causal efficacy the world,,1.0
23,3283,Religious Group (v5),possesses hunger,,1.0
23,3288,Religious Group (v5),indirect causal efficacy the world,,1.0
23,3296,Religious Group (v5),communicates with living,,1.0
23,3328,Religious Group (v5),is monarch manifestation,,1.0
23,3218,Religious Group (v5),permissible to worship other god?,,1.0
173,2899,Religious Group (v5),other elite loyalty,0.0,1.0
173,2910,Religious Group (v5),is kin to elites,0.0,1.0
173,2941,Religious Group (v5),is anthropomorphic,1.0,1.0
173,2944,Religious Group (v5),is chthonic,0.0,1.0
173,2948,Religious Group (v5),is sky deity,1.0,1.0
173,2958,Religious Group (v5),is monarch fused,0.0,1.0
173,2984,Religious Group (v5),is unquestionably good,1.0,1.0
173,3192,Religious Group (v5),positive emotion,1.0,1.0
173,3229,Religious Group (v5),negative emotion,1.0,1.0
173,3233,Religious Group (v5),knowledge this world,1.0,1.0
173,3247,Religious Group (v5),causal efficacy the world,1.0,1.0
173,3283,Religious Group (v5),possesses hunger,0.0,1.0
173,3288,Religious Group (v5),indirect causal efficacy the world,1.0,1.0
173,3296,Religious Group (v5),communicates with living,1.0,1.0
173,3328,Religious Group (v5),is monarch manifestation,0.0,1.0
173,3218,Religious Group (v5),permissible to worship other god?,,1.0
174,2899,Religious Group (v5),other elite loyalty,0.0,1.0
174,2910,Religious Group (v5),is kin to elites,0.0,1.0
174,2941,Religious Group (v5),is anthropomorphic,1.0,1.0
174,2944,Religious Group (v5),is chthonic,0.0,1.0
174,2948,Religious Group (v5),is sky deity,1.0,1.0
